歌曲之九第一段,#genre#
杰克+詹曼铃-幸福的代价,http://em.21dtv.com/songs/60151799.mkv
李闻霖-小老板,http://em.21dtv.com/songs/60151797.mkv
李金平-幸福满满,http://em.21dtv.com/songs/60151796.mkv
李超仁-GEM BOOM,http://em.21dtv.com/songs/60151795.mkv
李菓-彼此原谅,http://em.21dtv.com/songs/60151794.mkv
李玖哲+倪耐斯-LET GO,http://em.21dtv.com/songs/60151793.mkv
李玖哲-我很假,http://em.21dtv.com/songs/60151792.mkv
李泉-我要我们在一起,http://em.21dtv.com/songs/60151791.mkv
李沐峰-莫问豪情,http://em.21dtv.com/songs/60151790.mkv
李沁枬-梦游,http://em.21dtv.com/songs/60151789.mkv
李沁枬-好莱坞的猫头鹰,http://em.21dtv.com/songs/60151788.mkv
李晓杰-从那天起,http://em.21dtv.com/songs/60151786.mkv
李晓东-心的祈祷,http://em.21dtv.com/songs/60151785.mkv
李庆南+刘心-最美的时光,http://em.21dtv.com/songs/60151784.mkv
李少白-山楂树之恋,http://em.21dtv.com/songs/60151783.mkv
李宇春-春风十里,http://em.21dtv.com/songs/60151782.mkv
李宇春-一趟,http://em.21dtv.com/songs/60151781.mkv
李圣杰-离人,http://em.21dtv.com/songs/60151780.mkv
李剑青-在家乡,http://em.21dtv.com/songs/60151779.mkv
李佳兴-爱你重来,http://em.21dtv.com/songs/60151778.mkv
旧是旧人-当时年少,http://em.21dtv.com/songs/60151777.mkv
孟笑-空空如也,http://em.21dtv.com/songs/60151776.mkv
孟佳+王嘉尔-MOOD,http://em.21dtv.com/songs/60151775.mkv
孔雀哥哥-云南姑娘,http://em.21dtv.com/songs/60151774.mkv
奎哥-一缕秋风一丝离愁,http://em.21dtv.com/songs/60151773.mkv
喵喵-舞动精灵,http://em.21dtv.com/songs/60151772.mkv
吕蔷-如果这就是爱情,http://em.21dtv.com/songs/60151771.mkv
[Group]
groupName=十六万歌曲MV等 - 122
可泽+夏凌兮-樱花树下的约定,http://em.21dtv.com/songs/60151770.mkv
卢强-让我为战友写首歌,http://em.21dtv.com/songs/60151769.mkv
南宫嘉骏-从此以后一个人,http://em.21dtv.com/songs/60151768.mkv
包蔓-你走你的路,http://em.21dtv.com/songs/60151767.mkv
刘馨月+石雪峰-红尘知己,http://em.21dtv.com/songs/60151766.mkv
刘霞米拉-不想离开你,http://em.21dtv.com/songs/60151764.mkv
刘隋山-成长,http://em.21dtv.com/songs/60151763.mkv
刘浩龙-FEEL SO RIGHT,http://em.21dtv.com/songs/60151762.mkv
刘栋升-恨到最后都是爱,http://em.21dtv.com/songs/60151761.mkv
刘小光+葛珊珊-一路向远方,http://em.21dtv.com/songs/60151760.mkv
刘孟愉+广智-为你而来,http://em.21dtv.com/songs/60151759.mkv
刘哲军-奈何情深桑榆晚,http://em.21dtv.com/songs/60151758.mkv
凌川夏-听说 你说,http://em.21dtv.com/songs/60151757.mkv
六哲-深深爱过,http://em.21dtv.com/songs/60151756.mkv
乐小虎-FLOW,http://em.21dtv.com/songs/60151755.mkv
丢火车乐队-风景,http://em.21dtv.com/songs/60151754.mkv
丁克森-爱别离,http://em.21dtv.com/songs/60151753.mkv
RED VELVET-BAD BOY,http://em.21dtv.com/songs/60151752.mkv
LOS+JAY PARK+G.SOUL-坏家伙,http://em.21dtv.com/songs/60151751.mkv
黑鸭子组合-拜年歌,http://em.21dtv.com/songs/60151750.mkv
黄香媚-中国女书,http://em.21dtv.com/songs/60151749.mkv
黄渤-我是谁,http://em.21dtv.com/songs/60151748.mkv
黄尊-兄弟不含糊,http://em.21dtv.com/songs/60151747.mkv
黄圣依-自己的幸福,http://em.21dtv.com/songs/60151746.mkv
飞歌+帆影-思念的痕迹,http://em.21dtv.com/songs/60151745.mkv
飞亚合唱团-月季花开好运来,http://em.21dtv.com/songs/60151744.mkv
风语-把爱种心上,http://em.21dtv.com/songs/60151743.mkv
风语-想你,http://em.21dtv.com/songs/60151742.mkv
顾词-半生年华,http://em.21dtv.com/songs/60151741.mkv
韩红-梦的翅膀,http://em.21dtv.com/songs/60151740.mkv
韩磊-一路执着,http://em.21dtv.com/songs/60151739.mkv
韩晓辉-铜川陈炉石,http://em.21dtv.com/songs/60151738.mkv
韩安旭-健忘症,http://em.21dtv.com/songs/60151737.mkv
韩东旭-英雄有梦,http://em.21dtv.com/songs/60151736.mkv
陈玉建-等她,http://em.21dtv.com/songs/60151734.mkv
陈玉建-丢了爱情丢了自己,http://em.21dtv.com/songs/60151733.mkv
陈淑萍+吴俊宏-一双筷,http://em.21dtv.com/songs/60151732.mkv
陈淑萍-遇见,http://em.21dtv.com/songs/60151731.mkv
陈淑萍-花蕊女人心,http://em.21dtv.com/songs/60151730.mkv
陈淑萍-爱的金语,http://em.21dtv.com/songs/60151729.mkv
陈淑萍-爱有多深,http://em.21dtv.com/songs/60151728.mkv
陈淑萍-爱情的无奈,http://em.21dtv.com/songs/60151727.mkv
陈淑萍-爱恨相随,http://em.21dtv.com/songs/60151726.mkv

歌曲之九第二段,#genre#
陈淑萍-小桥流水,http://em.21dtv.com/songs/60151725.mkv
陈嬛-一段明天,http://em.21dtv.com/songs/60151722.mkv
陈娟儿-重生,http://em.21dtv.com/songs/60151721.mkv
陈娟儿-过客,http://em.21dtv.com/songs/60151720.mkv
陈娟儿-别担心,http://em.21dtv.com/songs/60151719.mkv
陈娟儿-三人,http://em.21dtv.com/songs/60151718.mkv
陈咏+陈娇-金玉满堂,http://em.21dtv.com/songs/60151717.mkv
陈咏-金玉满堂,http://em.21dtv.com/songs/60151716.mkv
阿沁-天使恶魔,http://em.21dtv.com/songs/60151715.mkv
阿沁-假面,http://em.21dtv.com/songs/60151714.mkv
阿权-司机哥们,http://em.21dtv.com/songs/60151713.mkv
阿影-亲爱的我好想你,http://em.21dtv.com/songs/60151712.mkv
阿尔法-家,http://em.21dtv.com/songs/60151711.mkv
阿力普-路,http://em.21dtv.com/songs/60151710.mkv
邓紫棋+黄明志-飘向北方,http://em.21dtv.com/songs/60151709.mkv
邓小龙-用我的痛苦还你的未来,http://em.21dtv.com/songs/60151708.mkv
贺敬轩-金丝雀,http://em.21dtv.com/songs/60151707.mkv
蔡雨杰-五笔战成疯,http://em.21dtv.com/songs/60151706.mkv
蔡诗芸-SHANG HAI WAS LIT,http://em.21dtv.com/songs/60151705.mkv
胡艾彤-喂猪,http://em.21dtv.com/songs/60151704.mkv
胡杰夕-我的好心情,http://em.21dtv.com/songs/60151703.mkv
胡杰夕-如果我是你的男朋友2018,http://em.21dtv.com/songs/60151702.mkv
程飞鸣+余秋雨-兄弟誓言,http://em.21dtv.com/songs/60151701.mkv
焦可然-犯不着我来管,http://em.21dtv.com/songs/60151700.mkv
海哲明-眼里沙,http://em.21dtv.com/songs/60151699.mkv
洪雨雷-初心为实,http://em.21dtv.com/songs/60151698.mkv
洪波-兄弟兄弟,http://em.21dtv.com/songs/60151697.mkv
毕晓鑫-不死之身,http://em.21dtv.com/songs/60151696.mkv
歌一生-想你,http://em.21dtv.com/songs/60151695.mkv
横颜君-听风,http://em.21dtv.com/songs/60151694.mkv
枫舞-网络风雨情,http://em.21dtv.com/songs/60151693.mkv
杭娇+张津涤-凤凰传说,http://em.21dtv.com/songs/60151692.mkv
杭天琪-掌声响起来,http://em.21dtv.com/songs/60151691.mkv
杜青-陌路,http://em.21dtv.com/songs/60151690.mkv
杜婧荧-没爱了,http://em.21dtv.com/songs/60151689.mkv
曾雨轩-千千阙歌,http://em.21dtv.com/songs/60151688.mkv
房乾-梦想启航,http://em.21dtv.com/songs/60151687.mkv
戴亮DANT E S-我爱布列塔尼,http://em.21dtv.com/songs/60151686.mkv
成骏-杭州,http://em.21dtv.com/songs/60151685.mkv
带泪的鱼-温柔的陷阱,http://em.21dtv.com/songs/60151684.mkv
崔恕+崔栩维-SILVIA,http://em.21dtv.com/songs/60151683.mkv
崔恕+崔子格+崔栩维-韧享快乐年,http://em.21dtv.com/songs/60151682.mkv
崔子格-再一次拥抱,http://em.21dtv.com/songs/60151681.mkv
宏磊-三十而立,http://em.21dtv.com/songs/60151680.mkv
安列-志高智能风FREESTYLE,http://em.21dtv.com/songs/60151679.mkv
大壮-红尘来去一场梦,http://em.21dtv.com/songs/60151678.mkv
大壮-乌兰巴托的夜,http://em.21dtv.com/songs/60151677.mkv
大哲-三十岁的男人,http://em.21dtv.com/songs/60151676.mkv
凤凰传奇-一起红火火,http://em.21dtv.com/songs/60151675.mkv
代理仁-谢谢你不顾一切的爱过我,http://em.21dtv.com/songs/60151674.mkv
东方任静+童星-超级宝贝萌萌哒,http://em.21dtv.com/songs/60151673.mkv
TIM 梁添蓝-缘来珍惜,http://em.21dtv.com/songs/60151672.mkv
THE POWER POWDER-与生俱来,http://em.21dtv.com/songs/60151671.mkv
T.SONG-LOSING YOU,http://em.21dtv.com/songs/60151670.mkv
SING女团-想带你到霭霭晨光里,http://em.21dtv.com/songs/60151669.mkv
SING女团-团团圆圆,http://em.21dtv.com/songs/60151668.mkv
MIC男团-MAD LOVE,http://em.21dtv.com/songs/60151667.mkv
JESSIE J-KILLING ME SOFTLY WITH HIS SONG,http://em.21dtv.com/songs/60151666.mkv
HIGHER BROTHERS-FLO RIDA,http://em.21dtv.com/songs/60151665.mkv
HEARTBEAT STATION+符家浚-仍未放手,http://em.21dtv.com/songs/60151664.mkv
GTM-不爱你爱谁,http://em.21dtv.com/songs/60151663.mkv
ALAN WALKER-FADED,http://em.21dtv.com/songs/60151662.mkv
1022女声-HONEY YOU ARE,http://em.21dtv.com/songs/60151661.mkv
韩磊+江映蓉-以人民的名义,http://em.21dtv.com/songs/60151660.mkv
钟洁+枕然-陌生,http://em.21dtv.com/songs/60151659.mkv
钟洁+孙紫涵-一只猫,http://em.21dtv.com/songs/60151658.mkv
钟天奕+凌燕儿-破晓,http://em.21dtv.com/songs/60151657.mkv
钟天奕-睡在时针上的人,http://em.21dtv.com/songs/60151656.mkv
钟天奕-渡,http://em.21dtv.com/songs/60151655.mkv
郑虹-执念,http://em.21dtv.com/songs/60151654.mkv
郑俊海-三门小海鲜,http://em.21dtv.com/songs/60151653.mkv
郑俊日-SAY YES,http://em.21dtv.com/songs/60151652.mkv
郑东河-SUNSHINE,http://em.21dtv.com/songs/60151651.mkv
赵韩樱子+朱晓鹏-眼睛,http://em.21dtv.com/songs/60151650.mkv
赵雷-十九岁,http://em.21dtv.com/songs/60151649.mkv
赵鑫-爱可以改变一切,http://em.21dtv.com/songs/60151648.mkv
赵鑫-温柔刀,http://em.21dtv.com/songs/60151647.mkv
赵真-越是喝醉越想你,http://em.21dtv.com/songs/60151646.mkv
赵斌+张怡诺-你是我的神话,http://em.21dtv.com/songs/60151645.mkv
赵天宇+周震南-吸引力法则,http://em.21dtv.com/songs/60151644.mkv
纣王老何-顿啦 爱你,http://em.21dtv.com/songs/60151643.mkv
章古-爱在下雨天,http://em.21dtv.com/songs/60151642.mkv
章古-我的朋友,http://em.21dtv.com/songs/60151641.mkv
章古-不关你的事,http://em.21dtv.com/songs/60151640.mkv
王杰-心痛,http://em.21dtv.com/songs/60151639.mkv
王建荣-公虾米,http://em.21dtv.com/songs/60151638.mkv
朱兴东-全世界心酸,http://em.21dtv.com/songs/60151637.mkv
朱主爱-莫名奇妙爱上你,http://em.21dtv.com/songs/60151636.mkv
曾擎-爸爸妈妈请别太累,http://em.21dtv.com/songs/60151635.mkv
张馨之-羊儿恋,http://em.21dtv.com/songs/60151634.mkv
张鑫鑫-狂奔,http://em.21dtv.com/songs/60151633.mkv
张艺兴-一切如你,http://em.21dtv.com/songs/60151632.mkv
张祐荣-DON'T ACT,http://em.21dtv.com/songs/60151631.mkv
张烨-我的诺,http://em.21dtv.com/songs/60151630.mkv
张歆艺+刘宇芙-泡芙宣言,http://em.21dtv.com/songs/60151629.mkv
张展博-要我怎么做,http://em.21dtv.com/songs/60151628.mkv
张天-SHAPE OF YOU,http://em.21dtv.com/songs/60151627.mkv
张兆涵-我是一个小英雄,http://em.21dtv.com/songs/60151626.mkv
张一媛-撩,http://em.21dtv.com/songs/60151625.mkv
庄心妍-趁虚而入,http://em.21dtv.com/songs/60151624.mkv
庄心妍-置身事外,http://em.21dtv.com/songs/60151623.mkv
庄心妍-终于遇见,http://em.21dtv.com/songs/60151622.mkv
庄心妍-看不到你,http://em.21dtv.com/songs/60151621.mkv
庄心妍-没有明天的明天,http://em.21dtv.com/songs/60151620.mkv
庄心妍-最好的距离,http://em.21dtv.com/songs/60151619.mkv
庄心妍-我们都诚实一些,http://em.21dtv.com/songs/60151618.mkv
庄心妍-我不配拥有,http://em.21dtv.com/songs/60151617.mkv
庄心妍-我不是最重要的人,http://em.21dtv.com/songs/60151616.mkv
庄心妍-只要你快乐,http://em.21dtv.com/songs/60151615.mkv
左颜-完整,http://em.21dtv.com/songs/60151614.mkv
周笔畅-最美的期待,http://em.21dtv.com/songs/60151612.mkv

歌曲之九第三段,#genre#
周忆丹-爱了散了,http://em.21dtv.com/songs/60151611.mkv
周兴哲-终于等到你,http://em.21dtv.com/songs/60151610.mkv
卓鸣-位置,http://em.21dtv.com/songs/60151609.mkv
于文华-亲吻你再久依然恋着你,http://em.21dtv.com/songs/60151608.mkv
张鸿举-欲望公路,http://em.21dtv.com/songs/60151606.mkv
张韶涵-阿刁,http://em.21dtv.com/songs/60151605.mkv
张韶涵-梦里花,http://em.21dtv.com/songs/60151604.mkv
张韶涵-传世之爱,http://em.21dtv.com/songs/60151603.mkv
张靓颖+林俊杰-好心情,http://em.21dtv.com/songs/60151602.mkv
张雷+闫鹿杨-有人爱着你,http://em.21dtv.com/songs/60151601.mkv
张雷-傻瓜傻瓜,http://em.21dtv.com/songs/60151600.mkv
张翠萍+草上飞-七月七,http://em.21dtv.com/songs/60151599.mkv
张皓强-白水人,http://em.21dtv.com/songs/60151598.mkv
张洪溢-你在何处,http://em.21dtv.com/songs/60151597.mkv
张杰+张梦羽-山路十八弯,http://em.21dtv.com/songs/60151596.mkv
张杰-爱的传奇,http://em.21dtv.com/songs/60151595.mkv
张惠妹+艾怡良+徐佳莹-傲娇,http://em.21dtv.com/songs/60151594.mkv
张惠妹-装醉,http://em.21dtv.com/songs/60151593.mkv
张惠妹-YOU MAKE ME FREE+渴了+BAD BOY+三天三夜,http://em.21dtv.com/songs/60151592.mkv
张平-生活就是这样,http://em.21dtv.com/songs/60151591.mkv
张天-QUEEN BEE,http://em.21dtv.com/songs/60151590.mkv
张可-春节老人,http://em.21dtv.com/songs/60151589.mkv
张冬玲-抛开,http://em.21dtv.com/songs/60151588.mkv
张世平-美丽的长岭岗,http://em.21dtv.com/songs/60151587.mkv
雨宗林+王羽泽-爸爸的小棉袄,http://em.21dtv.com/songs/60151586.mkv
雨中百合-期待今生与你相见,http://em.21dtv.com/songs/60151585.mkv
银临-邻里天涯,http://em.21dtv.com/songs/60151584.mkv
袁娅维-无所畏惧,http://em.21dtv.com/songs/60151583.mkv
袁咏琳-THAT'S ALRIGHT,http://em.21dtv.com/songs/60151582.mkv
虞祎杰-就算是谎话也可以,http://em.21dtv.com/songs/60151581.mkv
艺鹭-幸福的向往,http://em.21dtv.com/songs/60151580.mkv
羽泉-爱情诺曼底,http://em.21dtv.com/songs/60151579.mkv
羽柯-就是现在,http://em.21dtv.com/songs/60151578.mkv
渔渊-遗憾的海,http://em.21dtv.com/songs/60151577.mkv
渔渊-这座城,http://em.21dtv.com/songs/60151576.mkv
渔渊-我比不上他,http://em.21dtv.com/songs/60151575.mkv
渔渊-不是朋友,http://em.21dtv.com/songs/60151574.mkv
渔圈-青石城,http://em.21dtv.com/songs/60151573.mkv
战歌-有你就好,http://em.21dtv.com/songs/60151572.mkv
战歌-我恨我自己,http://em.21dtv.com/songs/60151571.mkv
张北北-亲爱的我好想你,http://em.21dtv.com/songs/60151570.mkv
宇宙人-这就是我爱你的方法,http://em.21dtv.com/songs/60151569.mkv
叶晓粤-FREAKING ENDING,http://em.21dtv.com/songs/60151568.mkv
佚名-猫咪宝贝,http://em.21dtv.com/songs/60151567.mkv
余萍-火红的年,http://em.21dtv.com/songs/60151566.mkv
优我女团-改变,http://em.21dtv.com/songs/60151565.mkv
伊晗-不是说好了不见,http://em.21dtv.com/songs/60151564.mkv
伊克拉木-雨碟,http://em.21dtv.com/songs/60151563.mkv
云飞儿-如果爱你也有罪,http://em.21dtv.com/songs/60151562.mkv
云飞-永远的赞歌,http://em.21dtv.com/songs/60151561.mkv
云丹久美-此情你若懂,http://em.21dtv.com/songs/60151560.mkv
于腾霖-我拿什么去挽留,http://em.21dtv.com/songs/60151559.mkv
于腾霖-你是我满满的幸福,http://em.21dtv.com/songs/60151558.mkv
于树临峰-欢乐谷粒多,http://em.21dtv.com/songs/60151557.mkv
黄尊-亲爱的我又想你了,http://em.21dtv.com/songs/60151556.mkv
马成户-结束也是一种幸福,http://em.21dtv.com/songs/60151555.mkv
韩枫-天地吉祥,http://em.21dtv.com/songs/60151554.mkv
那对夫妻-我不会,http://em.21dtv.com/songs/60151553.mkv
蔡晓-爱在百优,http://em.21dtv.com/songs/60151552.mkv
蔡卓宜-氧气女孩,http://em.21dtv.com/songs/60151551.mkv
绳子-下个渡口为你守候,http://em.21dtv.com/songs/60151550.mkv
笑明-亲爱的我愿意,http://em.21dtv.com/songs/60151549.mkv
眼泪-久别的爹娘,http://em.21dtv.com/songs/60151548.mkv
王柏良-为自己喝彩,http://em.21dtv.com/songs/60151547.mkv
王小荣-想你想得眼泪流,http://em.21dtv.com/songs/60151546.mkv
火哥+伟伦-永远的朋友,http://em.21dtv.com/songs/60151544.mkv
毛子铭-红颜诉说,http://em.21dtv.com/songs/60151543.mkv
杨泽怡-天灯,http://em.21dtv.com/songs/60151542.mkv
杨梓文祺-天越冷我越想你,http://em.21dtv.com/songs/60151541.mkv
杨宇彤-褪色的树叶,http://em.21dtv.com/songs/60151540.mkv
杨宇彤-蜜友,http://em.21dtv.com/songs/60151539.mkv
杨宇彤-苦情角色,http://em.21dtv.com/songs/60151538.mkv
杨宇彤-疯癫,http://em.21dtv.com/songs/60151537.mkv
杨宇彤-我要唱歌,http://em.21dtv.com/songs/60151536.mkv
杨云瑶-潜水钟,http://em.21dtv.com/songs/60151535.mkv
李昌盛-沉沦的石头,http://em.21dtv.com/songs/60151534.mkv
徐迦琪-你给的幸福,http://em.21dtv.com/songs/60151533.mkv
徐新思-必答题和B选题,http://em.21dtv.com/songs/60151532.mkv
巴图-不要伤害爱你的人,http://em.21dtv.com/songs/60151531.mkv
宁嘉乐-你离开后,http://em.21dtv.com/songs/60151530.mkv
孙小孟-姑娘嫁我吧,http://em.21dtv.com/songs/60151529.mkv
妖蝠SAMA-BINGBIAN病变,http://em.21dtv.com/songs/60151528.mkv
吴欣亚-一米阳光,http://em.21dtv.com/songs/60151527.mkv
叶贺芝-故事,http://em.21dtv.com/songs/60151526.mkv
叶晓粤+王大痣-别怕,http://em.21dtv.com/songs/60151525.mkv
华林-来之不易,http://em.21dtv.com/songs/60151524.mkv
华晨宇-无聊人,http://em.21dtv.com/songs/60151523.mkv
刘静格格-这就出发,http://em.21dtv.com/songs/60151522.mkv
刘若英-后来,http://em.21dtv.com/songs/60151521.mkv
刘玉娥-结束也是一种幸福,http://em.21dtv.com/songs/60151520.mkv
冯霞-家乡的土地,http://em.21dtv.com/songs/60151519.mkv
丁传亭-没完没了,http://em.21dtv.com/songs/60151518.mkv
SGENE-如意如愿,http://em.21dtv.com/songs/60151517.mkv
黄绮珊-不完美的美,http://em.21dtv.com/songs/60151516.mkv
韦郎加虎-打工路上走天涯,http://em.21dtv.com/songs/60151515.mkv
阎奕格-亦敌亦友,http://em.21dtv.com/songs/60151514.mkv
车志立-一人,http://em.21dtv.com/songs/60151513.mkv
胡博+郭强-不强求,http://em.21dtv.com/songs/60151510.mkv
肖洋-爱情独立日,http://em.21dtv.com/songs/60151508.mkv
王思佳-你是唯一,http://em.21dtv.com/songs/60151507.mkv
王博文-因为有你,http://em.21dtv.com/songs/60151506.mkv
熊仔-凶宅,http://em.21dtv.com/songs/60151505.mkv
熊仔-RIYOKO,http://em.21dtv.com/songs/60151504.mkv
林良欢-风中的花蕊,http://em.21dtv.com/songs/60151503.mkv
林良欢-幸福的期待,http://em.21dtv.com/songs/60151502.mkv
林良欢-为爱认份,http://em.21dtv.com/songs/60151501.mkv
林可昕-情非虚构,http://em.21dtv.com/songs/60151500.mkv
林京烨-只想对你说,http://em.21dtv.com/songs/60151499.mkv
林乔安+温瀚龙-梦中情人,http://em.21dtv.com/songs/60151498.mkv
林乔安-甲幸福作伙,http://em.21dtv.com/songs/60151497.mkv
林乔安-玻璃心,http://em.21dtv.com/songs/60151496.mkv

歌曲之九第四段,#genre#
林乔安-我甘愿孤单,http://em.21dtv.com/songs/60151495.mkv
杨宇彤-WAKE UP,http://em.21dtv.com/songs/60151494.mkv
杨叶伟-简单的一个理由,http://em.21dtv.com/songs/60151493.mkv
杨乐丰-空余恨,http://em.21dtv.com/songs/60151492.mkv
杨一凡-爱你我敢与全世界为敌,http://em.21dtv.com/songs/60151491.mkv
李建轩-就别爱我,http://em.21dtv.com/songs/60151490.mkv
望海高歌-不想失去你,http://em.21dtv.com/songs/60151489.mkv
晓月-好想你回到我身边,http://em.21dtv.com/songs/60151488.mkv
星号69-平行世界的风,http://em.21dtv.com/songs/60151487.mkv
圣结石-只能怀念,http://em.21dtv.com/songs/60151486.mkv
回音哥-三十岁的自己,http://em.21dtv.com/songs/60151485.mkv
刘旭阳+校长-不装,http://em.21dtv.com/songs/60151484.mkv
乔幼+庄振凯-斗阵,http://em.21dtv.com/songs/60151483.mkv
乔幼-心碎爱情戏,http://em.21dtv.com/songs/60151482.mkv
乔幼-一生所求,http://em.21dtv.com/songs/60151481.mkv
东方红艳-情歌你唱我来和,http://em.21dtv.com/songs/60151480.mkv
TUNGEVAAG+RAABAN-SAMSARA,http://em.21dtv.com/songs/60151479.mkv
鄢青-曾经她对我说,http://em.21dtv.com/songs/60151478.mkv
谢震东-起飞,http://em.21dtv.com/songs/60151477.mkv
谢春花-崎途,http://em.21dtv.com/songs/60151476.mkv
许鹤缤+风林火山乐团-固执是一种光荣,http://em.21dtv.com/songs/60151475.mkv
许诺-我不想说,http://em.21dtv.com/songs/60151474.mkv
许歌淳一-偶像练习生,http://em.21dtv.com/songs/60151473.mkv
张艺兴-梦想起飞,http://em.21dtv.com/songs/60151472.mkv
许峰-生活就是折腾,http://em.21dtv.com/songs/60151471.mkv
西域刀郎-真的要说谢谢你,http://em.21dtv.com/songs/60151470.mkv
萧敬腾-皮囊,http://em.21dtv.com/songs/60151469.mkv
萧敬腾-獒天下,http://em.21dtv.com/songs/60151468.mkv
萧敬腾-斗罗大陆,http://em.21dtv.com/songs/60151467.mkv
箱子君+刘增瞳-随心所爱,http://em.21dtv.com/songs/60151466.mkv
玄鸟传说-爱要怎么样,http://em.21dtv.com/songs/60151465.mkv
牙牙乐-着魔,http://em.21dtv.com/songs/60151464.mkv
牙牙乐-伤疤,http://em.21dtv.com/songs/60151463.mkv
熊胡杰-河源,http://em.21dtv.com/songs/60151462.mkv
湘唯一-一生所爱,http://em.21dtv.com/songs/60151461.mkv
歆小瑶-借口,http://em.21dtv.com/songs/60151460.mkv
校长-别生气了,http://em.21dtv.com/songs/60151459.mkv
杨坤+李光-爱上一个不回家的人+默,http://em.21dtv.com/songs/60151458.mkv
星月组合-种花,http://em.21dtv.com/songs/60151457.mkv
新街口组合+邱俊熹-奇怪的一零后来了,http://em.21dtv.com/songs/60151456.mkv
新街口组合+Ryan+丁芙妮+徐睿轩-文惠北京STYLE,http://em.21dtv.com/songs/60151455.mkv
徐颢原-放下手机,http://em.21dtv.com/songs/60151454.mkv
徐真真-没有关系,http://em.21dtv.com/songs/60151453.mkv
徐晶晶-鲜花开在好梦里,http://em.21dtv.com/songs/60151452.mkv
徐子崴+龙梅子-听说老家下雪了,http://em.21dtv.com/songs/60151451.mkv
徐千雅-愿平安归于你,http://em.21dtv.com/songs/60151450.mkv
小越女-我想牵你手,http://em.21dtv.com/songs/60151449.mkv
小旭-当我遇见你的时候,http://em.21dtv.com/songs/60151447.mkv
小摩梭-英雄的后代,http://em.21dtv.com/songs/60151446.mkv
夏韶声-恶梦,http://em.21dtv.com/songs/60151445.mkv
夏婉安-棋逢对手,http://em.21dtv.com/songs/60151444.mkv
夏一-多愁善感的姑娘,http://em.21dtv.com/songs/60151443.mkv
吴祉璇-对不起,http://em.21dtv.com/songs/60151442.mkv
吴祉璇-不走心的吻别,http://em.21dtv.com/songs/60151441.mkv
吴沙-爱刺穿了我的胸口,http://em.21dtv.com/songs/60151440.mkv
吴昕-童话镇,http://em.21dtv.com/songs/60151439.mkv
吴情儿-面具,http://em.21dtv.com/songs/60151438.mkv
吴情儿-相约很快兑现,http://em.21dtv.com/songs/60151437.mkv
吴情儿-无处逃我忘不掉,http://em.21dtv.com/songs/60151436.mkv
