精彩漫画小说（1171个听书）推荐,#genre#
🎉都市爽文🤞《扮演成真：漫展变身帝皇铠甲飞走》EP1~38  世界异变，怪兽横行，少数人觉醒可变身铠甲，受人敬仰崇拜。 叶阳没有成功觉醒，但扮演成真系统开启。都市  爽文 小說 小说,https://www.youtube.com/watch?v=uPN71ux_xYA
🎉都市爽文🤞《我一个法医下班后做法事很合理吧》EP1~177  官方频道出台一档记录人们下班后从事副业的直播节目。    随机选取上班族跟拍记录其下班后从事副业的过程。都市  爽文 小說 小说,https://www.youtube.com/watch?v=gqGzurj-xCo
🎉都市爽文🤞《前女友母亲怀上双胞胎，她急哭了》EP1~118      叮...触发系统任务    与邹舒晴约会三天    啊？你要我厚脸皮？    不对！你不能要脸！都市  爽文 小說 小说,https://www.youtube.com/watch?v=CW6loKXZ2e4
🎉都市爽文🤞《禁区探险：开局刺客柒，队友麒麟》EP1~112  陆柒穿越异世，绑定探秘系统，参与全球联合举办的《禁区探险》节目，深入各种禁区绝地，解锁强大技能。都市  爽文 小說 小说,https://www.youtube.com/watch?v=aQtSYE1kzb4
🎉都市爽文🤞《刚会五雷正法，整蛊主播上门打假》EP1~346  穿越妖魔复苏世界，林恒成为一个道士，还被诡异的买命钱纠缠。一天被借寿十年，眼见要油尽灯枯，幸好激活系统！都市  爽文 小說 小说,https://www.youtube.com/watch?v=XRRYSm7BRqk
🎉都市爽文🤞《相亲走错桌，闪婚千万女总裁》EP1~300  原以为，需要相亲的女人，肯定存在巨大的缺陷！要么身体，要么心理。都市  爽文 小說 小说,https://www.youtube.com/watch?v=oOcl27snm8w
🎉玄幻爽文🤞《我，始皇帝师，为大秦续命千年》EP1~108  卫渊，来到这苍茫大势前，得知嬴政还未曾登基，于是他准备苟下去，等待时机来临。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=fs4xcERrO5w
🎉玄幻爽文🤞《斗罗：凤神降临，帝炎焚天》EP1~332  林箫穿越斗罗，觉醒和马红俊一样的武魂，邪火凤凰。  玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=knJrU5hvrGg
🎉都市爽文🤞《武神爹财阀妈，我当躺赢狗怎么了》EP1~102  重生回到高三课堂上，方青尘做的第一件事，就是狠狠抽了自己一嘴巴。都市  爽文 小說 小说,https://www.youtube.com/watch?v=LpEyjB8pQZo
🎉玄幻爽文🤞《太好了！大师兄开杀，我们没救了 》EP1~121  上一世，林立开局就发现师父黑化成妖人，师弟黑化成鬼修，师妹黑化成邪灵。他提起屠刀就把他们都给宰了。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=BzAqVEe09p8
🎉玄幻爽文🤞《子嗣全无敌，我就嚣张点怎么了》EP1~249  十万年前，绝天通穿越玄幻世界，苦修数十载，最终止步于淬体境十二重天。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=oYO3x0YFxHA
🎉都市爽文🤞《醉酒后，错把嫂子当老婆！》EP1~246  净身出户后    林峰积蓄仅剩3000块！    没钱买新衣服    没钱孝敬老人    没钱不敢回家。都市  爽文 小說 小说,https://www.youtube.com/watch?v=knJaVqo-8Gc
🎉都市爽文🤞《财富自由从高冷女医生倒追开始》EP1~163  离职后觉醒钞能力系统，和特定女生互动，就能获得奖励。他从此“被迫”在女孩之间游走，创立属于自己的商业帝国。都市  爽文 小說 小说,https://www.youtube.com/watch?v=p5x04N9bbHI
🎉都市爽文🤞《御兽：我让山海经神兽君临异界！》EP1~446 不知道多少年前，魔神降临，杀戮与灾难开始肆虐，全球迎来几乎是灭绝性的剧变。都市  爽文 小說 小说,https://www.youtube.com/watch?v=diImhHxuAjM
🎉玄幻爽文🤞《玄幻：开局替哥哥入赘我乐麻了》EP1~158  叶长生穿越到玄幻世界，成为羽化城叶家小小的庶子。 为了帮大哥叶长寿悔婚，叶长生被迫入赘天羽王府。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=mvBQOVsM_gQ
🎉都市爽文🤞《他叫霍去病，你跟他打什么国战？》EP1~47 2075年，决定世界格局的国运之战全面打响。诸国神话复苏，强者云集！都市  爽文 小說 小说,https://www.youtube.com/watch?v=pb5CJ9rDso4
🎉玄幻爽文🤞《我只想毁灭宗门，咋逆天成神了》EP1~178  重生天下第一宗，本该是完美开局。可楚星河发现，自己的修行之路有点与众不同。 只要毁掉自家宗门就能天下无敌？玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=fmhjacqfIcM
🎉玄幻爽文🤞《提前登录大帝账号，斩杀退婚女帝》EP1~161  一款神域游戏，风靡整个世界！一觉醒来，发现自己成为了游戏内，那个最终反派魔道仙帝，被所有玩家讨伐的目标 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=gR069GFGjWU
🎉都市爽文🤞《末世监狱系统，住着阿姨萝莉校花》EP1~66  末世爆发，别人都在苦苦挣扎，江寒却和美女们一起享受生活，只因为他有监狱系统…都市  爽文 小說 小说,https://www.youtube.com/watch?v=OSVRnCR0sSY
【完结】🎉都市爽文🤞《成功率之眼：从废料堆里刨出亿万家底！》江南一觉醒来，双眼能看到成功率，咸鱼翻身，赌石，鉴宝，炒股，期货...开挂的人生.风生水起....都市  爽文 小說 小说,https://www.youtube.com/watch?v=tLgs6AHqxPc
🎉都市爽文🤞《黑客：直播关闭女主播美颜》EP1~399  苏阳脑海冒出一款神级黑客系统，有积分就可兑换各种黑客工具。那，苏阳戴上口罩，兜帽扮演神秘黑客，开通了直播。都市  爽文 小說 小说,https://www.youtube.com/watch?v=bGqkT-Dk-eU
🎉都市爽文🤞《全民：校花灵宠，吞噬成就朱雀！》EP1~86  我穿越成了一只鸟！本来以为一辈子就这样了，一个少女的出现，改变了我的鸟生，跟她签订契约觉醒了神级吞噬系统。都市  爽文 小說 小说,https://www.youtube.com/watch?v=k2L-SeTc8-U
🎉玄幻爽文🤞《背景通天我不说？大帝都得跪喊哥》EP1~255  楚云穿越玄幻世界，开局便是被审判现场，被宗门高层污蔑，白月光背离，情敌陷害，天崩开局。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=UkjkWqB2ngY
🎉都市爽文🤞《命途抉择：我在六道迷宫叩问长生！》EP1~367 十八岁生日那天，白泽的生命进入倒计时。生存，还是毁灭，这是一个选择。 三位六道，缥缈迷宫。都市  爽文 小說 小说,https://www.youtube.com/watch?v=5_icFKt3Kmw
🎉玄幻爽文🤞《人生模拟：你出生了，是个女孩》EP1~97  穿越了十六年，苏青终于获得了自称人生重开模拟器的系统。他立马放下了手中的锄头，回到家就开始研究。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=SqJy3HVXXaw
【完结】🎉玄幻爽文🤞《穿越成树，一群老六叫我柳神 》穿越成大荒中的一颗柳树，林风通过培养势力来壮大己身。 从小村落到日不落神国、从小乞丐到女帝、从盲人到绝世剑神……玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=M3MO7dtINJM
🎉玄幻爽文🤞《重生梦中惊坐起，魔尊竟是我自己》EP1~108  当好心值攀升，魔气越发精纯，当善与恶的界限逐渐模糊。魔道巨擘的重生之路， 是对抗命运的笑话？玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=jSE9w5y15r0
🎉都市爽文🤞《校花别动，我手里可有你的黑料！》EP1~69  陆轩上一世被班花诬陷偷窥，抑郁致死，重生后获得了黑料系统！黑料在手，女神我有！都市  爽文 小說 小说,https://www.youtube.com/watch?v=XGxksUGanEo
【完结】🎉都市爽文🤞《全球诅咒：你妈买菜必涨价》死兆魔眼降临蓝星，开启全民诅咒时代。奇形怪状的咒灵随之出现，所有人都必须背负诅咒生活，无一例外。都市  爽文 小說 小说,https://www.youtube.com/watch?v=IGXIwPe-E_g
🎉历史架空🤞《打猎：带甲百万，你说是普通县令？》EP1~140  穿越大齐，李牧发现自己遭遇了天崩开局。贪官污吏横行，百姓流离失所。 家贫妹弱，身无立锥之地。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=ITx5wvF8LJE
🎉都市爽文🤞《从监狱走出来的绝世疯批》EP1~142  一所禁忌监狱内，今天迎来了一位不速之客。都市  爽文 小說 小说,https://www.youtube.com/watch?v=FG5LH4enHds
【完结】🎉都市爽文🤞《我踩死条虫子，系统竟说我屠龙？》恭喜宿主越级斩杀兽王，奖励十倍增幅，获得不死之身！听着脑海中系统提示音，看着刚才被自己踩死de 蟑螂，一脸懵逼。都市  爽文 小說 小说,https://www.youtube.com/watch?v=ItfsAsGuHD0
🎉玄幻爽文🤞《高冷师尊，弟子的系统怎么样？》EP1~118  顾淳穿越修仙界，绑定至尊支配系统。至尊支配系统能够支配世间万物。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=1bpV87Wl9-8
🎉都市爽文🤞《开局认错人，我成了前女友妹夫？》EP1~76 因为一个巧合，一个意外，周天与前女友的双胞胎妹妹春风一度。 本以为会被人道毁灭的周天，万万没想到...都市  爽文 小說 小说,https://www.youtube.com/watch?v=IiwX8AyFgjs
🎉玄幻爽文🤞《先帝驾崩后，身为奸臣的我不演了》EP1~237  先帝架崩前，愿以此身长报国，何须生入玉门关。先帝驾崩后，死了，那老匹夫真的死了？玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=jrZWjuWXX4g
🎉玄幻爽文🤞《玄幻：从禁区签到开始无敌！》EP1~122 大帝道痕消散，黄金盛世将起！玄霄带着签到系统，穿越到异界。为了丰厚奖励，玄霄冒着生命危险，前往了生命禁区签到。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=XL4QwDyUJLA
🎉都市爽文🤞《美利坚典狱长：我的威慑值能抽资本王座！》EP1~75 模拟游戏玩家林德，穿越到美利坚1999年末，成为了一家私营监狱的老板兼典狱长。都市  爽文 小說 小说,https://www.youtube.com/watch?v=MsNH9VlNpbg
【完结】🎉都市爽文🤞《被刘亦非误认为变态，我爆红网络》牧尘穿越平行世界，虽然成为盲人，但觉醒系统奖励神级唱功。这一天外出找工作，却被直播的刘亦非误认为变态。都市  爽文 小說 小说,https://www.youtube.com/watch?v=i3xR5gbU4OY
🎉历史架空🤞《水浒：开局西门庆，杀贼就变强》EP1~157  穿越到水浒世界，成了臭名昭著的西门庆，怎么办？杀贼成圣系统开启！杀贼就变强！ 西门庆从此踏上了杀贼之路。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=zn-djnxd3Hk
🎉都市爽文🤞《开局获得谎话真言系统》EP1~140  吹牛有用吗？当然没用，那是因为吹牛不用上税。 李天宇突然成为了“谎话真言系统”的宿主，一切就变得不一样了。都市  爽文 小說 小说,https://www.youtube.com/watch?v=0m_yetmctig
🎉玄幻爽文🤞《父母双帝尊，才明白有背景的快乐》EP1~416 一代黑道大佬楚天重生，成为烂尾小说中的大反派，大恨魔尊幼年时。 楚天一出生，就被立为圣天宗圣子。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=JWQNR5SjrYs
【完结】🎉历史架空🤞《大秦：化身将臣，铸不朽尸朝》穿越大秦，融合僵尸之祖将臣，成为始皇第九子，赢青殿！因出生时天煞风云、异象频生，被阴阳家推算为孤煞星转世，视为不祥！历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=wKxm0upqC_I
🎉玄幻爽文🤞《宗门让我联姻，我修成武道绝巅！》EP1~173 大景王朝，玄州，赤云宗。　　夜沉如水，一座高大的藏书阁后，有两座并排茅草屋。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=WLgY3CIyanQ
🎉玄幻爽文🤞《师妹污蔑我酒剑仙，我一剑斩天门》EP1~491 经安排妥当，可却偏偏是出了漏子。当他与徐滨等人分开下山的时候，一枚强弩却是正中王霄的胸口。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=t2M275rWBcU
🎉玄幻爽文🤞《你拒绝退婚，我怎么开启主角模板？》EP1~106  神荒，东胜道域。没落王族江家大殿中，一身黑袍的江浩，静静地看着眼前的太初神教长老，嘴角带笑。 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=01aydL6ZcKU
🎉都市爽文🤞《装甲师：开局校花错拿我甲斗腰带》EP1~69  全民转职时代，成为一名装甲师  学院考核前夕，他打造出假面骑士中的甲斗变身器，准备在考核中大放异彩都市  爽文 小說 小说,https://www.youtube.com/watch?v=mSEaOIuvGfU
🎉都市爽文🤞《我邪道魔头，你让我进诡异游戏？》EP1~289  在这现代世界，林鸣绝望的发现自己根本找不到修炼用的死气，逼得他都快杀人去修炼了。谁想，诡异游戏降临了！都市  爽文 小說 小说,https://www.youtube.com/watch?v=hggjNVM-4Eg
【完结】🎉都市爽文🤞《我一魔帝，你让我挑战规则怪谈？》魔帝苏白重归故土，原打算过一些悠闲生活，恰逢规则怪谈游戏降临现实，苏白成为龙国天选者，代表龙国挑战规则怪谈。都市  爽文 小說 小说,https://www.youtube.com/watch?v=9Shy5Au8xJQ
🎉都市爽文🤞《阿姨，我爱的是你啊》EP1~85   李子玉为了保护女友，失手误杀黄毛而入狱，因此毁掉了学业和前程。都市  爽文 小說 小说,https://www.youtube.com/watch?v=Rj3edxp5CMk
🎉都市爽文🤞《监狱掌勺：一不小心混成监狱老大》EP1~316   徐帆穿越到鹰酱监狱，被要求给犯人做饭，做不好就得接受暴行。都市  爽文 小說 小说,https://www.youtube.com/watch?v=p_leaqk-AvQ
🎉玄幻爽文🤞《求求别脑补！我真只是一介凡人啊》EP1~117  陆北辰穿越天元大陆，获得最强金手指——脑补秒杀系统！ 但代价是……他永远无法修炼！ 玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=MHeoUpRC9sA
🎉都市爽文🤞《妹妹被爆头，我率领虫群席卷世界》EP1~95 怪物入侵，将整座城市化为炼狱。在这座炼狱，楚凡艰难挣扎生存了三年。这期间，他失去了一切。都市  爽文 小說 小说,https://www.youtube.com/watch?v=Sxm2qmLOolc
🎉都市爽文🤞《入狱十年，谁还见义勇为啊》EP1~389  明明见义勇为，却被校花一家诬陷为了杀人犯。十年的牢狱生涯后，曹昆带着诸多的犯罪秘密，重生回了改变他命运的那晚。都市  爽文 小說 小说,https://www.youtube.com/watch?v=92n9yMyD08s
🎉都市爽文🤞《开局概念门，我的能力无上限！》EP1~155 裂缝降临，诡兽横行！异能觉醒，攀登至高！ 这是异能者的时代！都市  爽文 小說 小说,https://www.youtube.com/watch?v=2x5q1jc5abM
【完结】🎉都市爽文🤞《重生九八：期货风云中救回跳楼双亲！》前世金融投资大佬重回到98年，正是父母因为期货导致跳楼的时候。都市  爽文 小說 小说,https://www.youtube.com/watch?v=6G_DPNR4efc
🎉玄幻爽文🤞《人在合欢宗，圣女求放过》EP1~257  林逍遥本是一名小道士，师父死后，道观断了香火。无奈只能携带道观里的破妄珠，准备下山要饭。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=9K_EIlsfJkM
🎉都市爽文🤞《睡服东北虎？你管这叫驯养技巧？》EP1~88 老娘可是东北虎，区区按摩怎么可能屈服？呜~他好会，挠的好酥服啊~    他咋知道我要洗香香？都市  爽文 小說 小说,https://www.youtube.com/watch?v=YLeg7AhSIX0
🎉都市爽文🤞《系统：黑丝御姐还是清纯校花》EP1~63 平凡牛马狄耀意外获得系统，从此开始了瑰丽的人生。爱穿黑丝的邻居大姐姐 ，清纯绝美的世家大小姐都市  爽文 小說 小说,https://www.youtube.com/watch?v=wznGKgPsE2A
🎉都市爽文🤞《都选S级圣女？那女魔帝我带走了》EP1~307 高武世界，凶兽肆虐。 每个人成年之后，便可觉醒灵性，于神位空间中契约圣女、魔女，获得强大力量。都市  爽文 小說 小说,https://www.youtube.com/watch?v=fvCCDiiYFio
🎉玄幻爽文🤞《修仙：重生异界打造最强宗门》EP1~265  魂穿修仙界，成为一个没有天赋，没有背景的杂役弟子，但是他却利用地球人的见识和知识大搞改革，搞各种研发！玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=SfDZoYMRNrY
🎉玄幻爽文🤞《玄幻：我，最强师尊，女徒弟个个美如花》EP1~77  元白穿越玄幻世界，成为宗门中最草包的师尊。绑定师尊系统，收的全是女弟子。个个貌美如花！玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=E0iAeedh6PM
🎉玄幻爽文🤞《魔女师尊独霸我，仙子们全黑化了》EP1~68  刚觉醒耕耘系统，被魔道妖女采补！救个圣女师尊，却发现她和妖女长得一样！收个灵宠狐狸，竟是上古九尾血脉！玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=Pqp-HAFaYYM
🎉都市爽文🤞《都觉醒恶魔法则了，你契约蚂蚁？》EP1~350 沈洛穿越到了全球御兽的世界。成为了东城高中，一个普通的御兽系学生。都市  爽文 小說 小说,https://www.youtube.com/watch?v=ZXJwPHKWjAc
🎉都市爽文🤞《收集女神图鉴，我在末世无敌了》EP1~158 诡异黑雾降临，全球陷入末日危机。动植物疯狂变异，物资极度匮乏，人类在恐惧中挣扎求生。都市  爽文 小說 小说,https://www.youtube.com/watch?v=TMG38a5hm3k
🎉都市爽文🤞《前女友母亲怀上双胞胎，她急哭了》EP1~70 叮...触发系统任务】    【与邹舒晴约会三天】    啊？你要我厚脸皮？    【不对！你不能要脸！】都市  爽文 小說 小说,https://www.youtube.com/watch?v=ZhAXa6M3f3k
🎉都市爽文🤞《全球毒雪，我开着房车收女仆》EP1~330    极寒降临，全球冰封。末世来了，需要囤物资？ 不！ 我的物资每天发放！需要囤女神？不！女神会自己送上门！都市  爽文 小說 小说,https://www.youtube.com/watch?v=oDgAGQxa8ak
🎉都市爽文🤞《让你契约御兽，你挖墓召唤神级亡灵？》EP1~83 天生赤瞳的裴星夜携带神墓系统，穿越全民御兽世界。自此他掀棺掘墓，开启冥府之门，契约远古神话血脉亡灵御兽。都市  爽文 小說 小说,https://www.youtube.com/watch?v=-cULZhOK78A
🎉玄幻爽文🤞《轮回百世，我的满级马甲藏不住了》EP1~61  张轩穿越修仙世界，觉醒轮回系统。只要完成百世轮回的任务，就可以获得无上修为，无敌世间。玄幻  爽文 小說 小说,https://www.youtube.com/watch?v=LBhdFNtOvKo
🎉都市爽文🤞《全球通缉令常客：国安求我登记成编外战神！》EP1~325 在一次围歼外军入境反渗透作战中，不幸为国捐躯。他的灵魂穿越平行时空，附身于同名同姓的大学生身上。都市  爽文 小說 小说,https://www.youtube.com/watch?v=pcWg-s8iLKY
【完结】🎉都市爽文🤞《黑熊王觉醒：开局暴揍毛子震惊动物界！》变成一头躺在熊妈怀里的幼熊宝宝。令他绝望的是，他的种族是亚洲黑熊，就是一直让毛子欺负熊......都市  爽文 小說 小说,https://www.youtube.com/watch?v=DKaOAh2z6Og
🎉历史架空🤞《大唐：八岁逛青楼，父皇你也在啊》EP1~143  八岁的李承乾在玄武门之变救下母亲长孙无垢。八岁的李承乾当街斩杀欺压百姓的恶人。历史架空 爽文 小說 小说,https://www.youtube.com/watch?v=fZgl-mO0Alk
