災變論,#genre#
至今無解的霍亞巴丘森林：羅馬尼亞科學家拍到詭異光柱和人形靈體；旅人被莫名擊飛、空中不明黑色幾何體；這裡是人類潛意識實體化的交匯點......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=xbOZlVcSvK8
加拿大男子目擊山中巨人，3個月後卻離奇身亡；CIA跟蹤、蒙面人揭秘、女友澄清，是自導自演還是真實經歷？事件發生3周年回顧...｜總裁的杯中宇宙,https://www.youtube.com/watch?v=HvO2BvLIyUk
養心殿房梁取出神秘龍匣，難道是奪嫡邪術？原來壓勝也分正邪，鎮山鎮水鎮國運......|總裁的杯中宇宙,https://www.youtube.com/watch?v=u0SlwSYij6s
侗族山村·占里：使用了600年的生物武器，傳女不傳男的藥方，為何能讓山村600年來，人口始終不超過800人？男女比例絕對1:1，究竟是真是假，揭開真相，這背後是血腥的黑暗......|總裁的杯中宇宙,https://www.youtube.com/watch?v=m9lMWvjVxjk
最大黑客盜竊案卒於拼寫錯誤？環環相扣，來去無蹤，唯一ip竟定位朝鮮，神秘黑客組織‘拉薩路’背後究竟是誰......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=OL8K0W9NSJw
梅爾吉布森最新爆料，獸用藥輕鬆治療癌症？少有研究難道是集體陰謀，從諾貝爾獎到妖魔化，伊維菌素經歷了什麼？AI帶來2元治癒癌症的希望......|總裁的杯中宇宙,https://www.youtube.com/watch?v=isSSBUewU34
哪吒=不知道哪個吒？從印度夜叉到蓮台封神，為何一身反骨，還總與龍族糾纏不清？原來一切在最初已經注定......｜總裁聊聊,https://www.youtube.com/watch?v=uSHuC6-hbSU
空中落下無數碎肉塊，村民大膽品嚐，檢測卻疑似人類肺部組織。研究調查眾說紛紜，難道是另一場屠牛事件？除了雨雪，天上還能下些什麼......｜總裁的杯中宇宙,https://www.youtube.com/watch?v=HJxG8NhXS4w
重磅：2025年5月，一種全新的癌症療法問世——「鐵死亡」，將讓晚期癌症像感冒一樣好治？來自一位肄業的法國醫學生？|自說自話的總裁,https://www.youtube.com/watch?v=P3CsnrZBC8w
時事演義,#genre#
隨時下架：川普要斬殺美聯儲？被特赦的『暗網之王』，被炒作的『穩定幣』，以及川普、馬斯克和米萊共同信仰的那個神秘學派？我們的世界即將被『這學派』接管？美聯儲成為歷史？|自說自話的總裁,https://www.youtube.com/watch?v=DX_F9uhx6SA
一定要看：這個世界的「劇本」已經被川普暴露？廣場協議2.0？穩定幣？關稅戰？川普拿到的「劇本」究竟要將我們帶往何處？|自說自話的總裁,https://www.youtube.com/watch?v=jcoTKgVx7Tw
已故教皇方濟各：預言中的末日教皇？世界將在他之後終結？爲什麽教皇大廳中充滿了核爆、重生與古蛇的形象？而方濟各卻在這蛇口之中，播放了一首名叫「斬殺」的音樂，難道一起正在到來？|自說自話的總裁,https://www.youtube.com/watch?v=aVTKAI6Wyyk
7月，一場劇本中的『滅世海嘯』即將到來？特朗普、巴菲特、索羅斯都在劇本之內？巴菲特說，美元將下地獄，那全球資產何去何從？我們如何保住財富？甚至逆襲？|自說自話的總裁,https://www.youtube.com/watch?v=CYKSnXyYj8E
BlackRock：操控世界的公司？這是深層政府故意露出的冰山一角嗎？|自說自話的總裁,https://www.youtube.com/watch?v=fMlQD90cA8A
50年前，一個英國小夥立志創造AI，可他的理論卻，被嘲諷、被忽視、被主流拋棄，但他依舊堅持，終於在40年後，等到一個奇跡，AI從他手中誕生，而如今他卻是發誓要毀滅AI的戰士……|自說自話的總裁,https://www.youtube.com/watch?v=2wJ3UGQtyJA
馬斯克2025年最新預言：三件事，分別在5年內、10年內、20年內實現，而且包括他最近的怪誕行為，竟然也與這三件事有關？難道真的，未來已來……|自說自話的總裁,https://www.youtube.com/watch?v=ffjIA4ZcVWM
2025：馬斯克的6天才意外曝光，一個影響世界的漩渦形成，下一步，是走向星辰大海的「AI文明」？也許，我們都在見證著這場巨變的開始……|自說自話的總裁,https://www.youtube.com/watch?v=d7Eqv2ibXyw
吳哥窟&上座部,#genre#
800年前，一個巨石文明在雨林中消失，因爲，宗教？戰爭？還是生態崩潰？層層挖掘，我們意外發現了巴別塔的秘密……|自說自話的總裁,https://www.youtube.com/watch?v=PZQYHk5HCBg
吳哥窟：叢林中的亞特蘭蒂斯，100萬人口？前工業時代世界上最大的城市？古代農業黑科技？失落之謎？層層深入，原來這不僅僅是一個旅遊景點……|自說自話的總裁,https://www.youtube.com/watch?v=LWALlKJ3mBE
有關易經,#genre#
深挖：未來早已確定？二進制、宇宙學、決定論，最前沿的科學盡頭，竟然是另一種八卦？一本被重構的《易經》？|自說自話的總裁,https://www.youtube.com/watch?v=CCBtD0kT5-s
甲骨文的『天』字，隱藏著史前文明的秘密？文明從何而來？挖掘遺跡，探究《易經》，也許，驚天災變，這才是史前真相……|自說自話的總裁,https://www.youtube.com/watch?v=zA0sanDerZY
震驚：陝西挖出周文王的秘密日記？《易經》的真相由此揭開？這是一個離奇又現實的故事，讓人難以置信……|自說自話的總裁,https://www.youtube.com/watch?v=lFnDsBA5Gso
地球往事,#genre#
進化論為何被推上神壇？《2012》難道不是科幻？原來，除了進化論，還有另一套學說可以解釋地球、生命和物種的故事，它竟然還和我們的神話，以及末日洪水的真相有關……|自說自話的總裁,https://www.youtube.com/watch?v=Zu95yxVY93U
1984年，一個工程師研究金字塔，卻意外發現了特斯拉的秘密，原來，這是一齣人類的悲劇……|自說自話的總裁,https://www.youtube.com/watch?v=DtiWP-Tpg3M
人類不是地球第一個文明：挖掘地層，探索星空，如果找不到史前文明「志留紀人」，那科學家將證明，我們不過是時間和空間的雙重囚徒，我們被鎖在層層虛擬的套娃當中……|自說自話的總裁,https://www.youtube.com/watch?v=t47La9iZ1Bo
隱忍20億年，有種生物真的從未忘記復仇，它們正在悄悄用氣體，改造我們的星球……|自說自話的總裁,https://www.youtube.com/watch?v=dE0z2GIVoFI
為何最近火山、地震頻發？南太平洋下，一股比湯加（東加）火山強43萬倍的超級火山正在蓄力？原來，日本人早已發現一個能預言火山、地震及一切地球懸疑超級理論……|自說自話的總裁,https://www.youtube.com/watch?v=aorjk2g3tqs
南極：巨大金字塔、神秘基地、巨大空洞、地心人、血瀑佈，隨著今年科考深入南極卻變得越來越神秘……|自說自話的總裁,https://www.youtube.com/watch?v=WlgiO5ULrc0
《黑暗傳》：盤古之前的神話，這本42年前出現在神農架的奇書，竟然是漢民族的完整史詩，翻開它，原來，我們丟失太古記憶，已經3000年之久，而我們的起源，從宇宙、天河開始……|自說自話的總裁,https://www.youtube.com/watch?v=TCuRmi54QCU
深挖：石油究竟是什麼？星球血液or化石燃料？為什麼火星上有石油？為什麼挖出了『石油生物』？為什麼有人說『石油永不枯竭』？也許，這是一個有關星際、宇宙與文明的遠古遺物……|自說自話的總裁,https://www.youtube.com/watch?v=2NSweuiyu84
良渚vs阿拉斯加：穿越6000年，橫跨太平洋，兩地爲何出現同樣的人種與圖騰？神秘的阿拉斯加三角，爲何突然被哈佛大學稱為『加密地球』區域？也許，那裏真的隱藏著一個地心世界的秘密……|自說自話的總裁,https://www.youtube.com/watch?v=Qg4pisCm-VQ
深挖：1萬年前沉沒的太平洋文明，他們曾在日本留下過眾多無法解釋的巨石？他們是誰？深扒遺跡和歷史，我們竟然發現了他們沉沒時最後的輓歌……|自說自話的總裁,https://www.youtube.com/watch?v=M7oWYXXJYKA
深挖：隱藏在中國的巨石遺跡，為何動輒萬噸起步？古人究竟如何切割山體？這與大禹治水和鯀盜息壤有關嗎？我們似乎從一座座謎之巨石遺跡中窺見了線索……|自說自話的總裁,https://www.youtube.com/watch?v=GaGFdI9xh1U
132年前，一位火山專家深入爪哇森林，他發現了無法解釋的古代遺跡……7萬年前，人類遭遇巨災，全球人口只剩下1000人？科學or預言？巨災將在2036年，再次降臨……|自說自話的總裁,https://www.youtube.com/watch?v=4VcNp6jP8o0
番外加更,#genre#
《修仙》番外篇：1000份神秘激素煉制一粒秋石陰丹；99天硫黃飼養，只為一隻火庫靈；丹砂、水銀九轉九還——保你三日之內飛升成仙……古代煉丹師門，究竟有哪些奇葩腦洞？|自說自話的總裁,https://www.youtube.com/watch?v=Zk0vFE-dqZA
2025：馬斯克的6天才意外曝光，一個影響世界的漩渦形成，下一步，是走向星辰大海的「AI文明」？也許，我們都在見證著這場巨變的開始……|自說自話的總裁,https://www.youtube.com/watch?v=d7Eqv2ibXyw
馬斯克預言：2030年「AI崛起，智人退場」概率100%，可這是一個沒有賈伯斯（喬布斯）的時代，想當年，他也為蘋果布下過AI戰略，或許，我們的還有一個有關AI與未來的「喬氏可能」……|自說自話的總裁,https://www.youtube.com/watch?v=8Yp24P6yunA
7月5日的預言為何產生？泰國預言家的『責任』是什麼？也許，深扒預言背後的科學，我們竟然發現了佛學的真實……|自說自話的總裁,https://www.youtube.com/watch?v=_PRADWNblnM
特製猛料,#genre#
【加更】鰲拜=all buy，為什麼說他才是聖誕節的終極密碼？原來，這一切故事，我們還要從大洪水的時代說起……|自說自話的總裁,https://www.youtube.com/watch?v=i7pN26c0Xt8
藝術系列,#genre#
110年前，一個叛逆少年來到荷蘭，他被人羞辱，決心復仇，這是一場現實中的《絕命畫師》，他曾大鬧天宮，又安全落地……|自說自話的總裁,https://www.youtube.com/watch?v=S9wc1vhoDb4
不會撩妹的和尚不是好畫家——原來，你竟然是这样的张大千……|自說自話的總裁,https://www.youtube.com/watch?v=P9j5Aj29xqU
透視1650層，發現達芬奇（達文西）留在《蒙娜麗莎》中的幽靈，竟然和都靈裹屍布撞臉，繼續破解，我們還發現了畫作中的五大驚奇……|自說自話的總裁,https://www.youtube.com/watch?v=TuQ6TqKaKQk
揭秘東方蒙娜麗莎，這尊穿越千年的雕塑，為什麼像有靈魂一樣？它在哪兒？微笑的背後又有什麼故事？|自說自話的總裁,https://www.youtube.com/watch?v=O4fFWwVGOPs
換一個視角看徐福，這些方士探險隊真的是大忽悠嗎？為什麼說他們是秦始皇的海軍？秦始皇的海軍竟然有可能才是焚書坑儒的真相？|自說自話的總裁,https://www.youtube.com/watch?v=2LmlT0B6H_Q
梵高（梵谷）：窮困？偏執？狂躁？割耳的怪物？自殺的瘋子？為什麼死後成為大師？原來這一切都不是真相，真實的故事，讓人絕望……|自說自話的總裁,https://www.youtube.com/watch?v=VGEhuyyq7Ts
2024最新解讀：你聽過的《清明上河圖》謎團全部被推翻？最新解讀竟然從中發現了被忽略千年的神秘人？他是誰？詭異畫作中究竟隱藏著什麼故事？|自說自話的總裁,https://www.youtube.com/watch?v=Syn8GM4-KtU
現代科技無法復原：汝瓷天青色的原理竟然是鈦鋁與鉀的星際合金成分？一層層破解，原來，背後故事，讓人歎息……|自說自話的總裁,https://www.youtube.com/watch?v=EoYg4yg64xE
化學世界,#genre#
為什麼說氟是死亡元素？含氟牙膏到底是好是壞？也許看完這個故事，你能有屬於自己的判斷……|自說自話的總裁,https://www.youtube.com/watch?v=zYRsunGWqeE
科學也分好壞，他毒殺上億人，號稱史上殺戮最多的人，還兩次差點毀滅地球，讓全人類智商降低，但幸好，在他的對立面，也有一位化學家，幫你我贏下來了這場化學之戰……|自說自話的總裁,https://www.youtube.com/watch?v=GQ98r-rjnYU
120年前，一個小伙兒研發了讓全球人口飆升4倍的黑科技，但後來，他為何成為被詛咒的惡魔？|自說自話的總裁,https://www.youtube.com/watch?v=YpvXhDmj6CQ
味精：你為什麼恐懼它？也許，這背後還有一個你值得知道的故事……|自說自話的總裁,https://www.youtube.com/watch?v=HvRX2KL-66E
78年前，這位博士把地獄之火召喚到人間，然後，人間出現了一座座煉獄，我們似乎再也回不去了……|自說自話的總裁,https://www.youtube.com/watch?v=TT3hb2e-yLg
古代技術,#genre#
1994年，一張奇怪的風帆出現在南極洲的巨大冰山前，這是一種800年沒有改變的古代科技，所以我們的祖先真的已經到達過南極嗎？|自說自話的總裁,https://www.youtube.com/watch?v=fDi-syrnibU
人工智能的背後：似乎有一個聲音再説——不要模仿上帝……|自說自話的總裁,https://www.youtube.com/watch?v=zpM2zg45WRw
深挖：5000年前，蚩尤黃帝大戰，為什麼蚩尤裝備『鐵器』？要知道，黃帝之後3000年的秦始皇也裝備不了『鐵器』啊，蚩尤鐵器，從何而來？或許，這背後隱藏著一段上古的北極故事……|自說自話的總裁,https://www.youtube.com/watch?v=15MR3i_hIlc
人物傳記,#genre#
真實的特斯拉：130年前，一個天才少年來到紐約，他點亮了世界，自己卻一生活在黑暗當中，如果你瞭解他的真實故事，可能也會説，這個世界不配擁有他的才華……|自說自話的總裁,https://www.youtube.com/watch?v=GFJFxq1XolA
玄奘：真實的唐僧到底有多強悍？孫悟空真的存在嗎？一切故事，從一場考古發現說起……|自說自話的總裁,https://www.youtube.com/watch?v=neQ4OjB7Prs
鑒真：課本中一帶而過的和尚，他到底是一個什麼樣的人？日本人為什麼要靠他留下的法器才能封印九尾狐？他為何東渡？如何東渡？一切故事從4個月前剛剛碎掉的殺生石說起……|自說自話的總裁,https://www.youtube.com/watch?v=zDQPaxQ5uSQ
秦始皇究竟在與誰作戰？30年前，有人推理層層細節，挖出千年遺物，終於讓我們看到了秦始皇的真面目……|自說自話的總裁,https://www.youtube.com/watch?v=s8gMPsTmKek
一段澳洲土著的傳說，牽出90年前被遺忘的真實故事……|自說自話的總裁,https://www.youtube.com/watch?v=wJW9HkqbYXY
1666年，一個英國小夥兒破譯了上帝的語言，然後，煉金術士們消失了，一群全新的666們也開始悄悄的改造我們的世界……|自說自話的總裁,https://www.youtube.com/watch?v=KcDJ-aPozA8
末代皇后婉容：吸食大煙，牙齒爛光，雙腿無法動彈，私生女被扔鍋爐……為什麼她會成為最不幸的犧牲品？|自說自話的總裁,https://www.youtube.com/watch?v=kCN26WRPAMY
球王貝利（比利）：他有一種古老的球技，64年前，他打破了偏見，卻讓自己陷入風波，最終，世界盃因他而更改規則，而他的古老球技卻面臨失傳……|自說自話的總裁,https://www.youtube.com/watch?v=qvRfvHrRyiw
1950年，一個古怪的英國博士預言了『人工智能』並且找到了可以讓機器『覺醒』的方法，但後來我們遺忘了這位博士，博士的幽靈卻在不知不覺中改造了我們的世界……|自說自話的總裁,https://www.youtube.com/watch?v=1TwusN7cQ9w
56年前，一個黑人小夥帶上皇冠，他鼓舞了全世界，卻讓自己背負罵名，如果你瞭解他的真實故事，可能也會説，他的故事，永遠都不該被遺忘…………|自說自話的總裁,https://www.youtube.com/watch?v=S_lJWkAeQTg
「泰森與阿里」為了幫偶像復仇，泰森足足等了8年……|自說自話的總裁,https://www.youtube.com/watch?v=kI3wMGHA4AY
鳩摩羅什：現實中的牛魔王，為了傳法，不惜破戒，來到東土，真如課本所說，他只是一個翻譯家嗎？其實，是他讓佛的智慧在我們文化中扎根，我們至今保留著很多他的翻譯……|自說自話的總裁,https://www.youtube.com/watch?v=UgiOtxBVwc8
真實的達芬奇（達文西）：500年前，一個少年來到佛羅倫薩，他用才華照亮了時代，自己卻始終寄人籬下，像一根蠟燭一樣，一點點被燃燒殆盡……|自說自話的總裁,https://www.youtube.com/watch?v=i9zcHlnmT5g
法顯：繼承八戒遺志的人，豬（朱）八戒被誤讀千年，而法顯，那年62歲，選擇像八戒一樣走進大漠和雪山……原來，西天取經的真相，遠不止九九八十一難……|自說自話的總裁,https://www.youtube.com/watch?v=nqb4r4ifTmA
作家三毛：47年前，一個精靈來到了撒哈拉，她為我們造夢，自己卻陷入幽暗，這是一部有關她的影片，一起回到30年前，那个充滿著青春夢想的時代……|自說自話的總裁,https://www.youtube.com/watch?v=dwbfyxwRa1c
埃德加·凱西：亞特蘭蒂斯、阿卡西記錄、地軸偏轉、末日地圖……號稱最偉大預言家的男人，究竟有著怎樣的真實故事……|自說自話的總裁,https://www.youtube.com/watch?v=H5B4CIQBltA
梵高（梵谷）：窮困？偏執？狂躁？割耳的怪物？自殺的瘋子？為什麼死後成為大師？原來這一切都不是真相，真實的故事，讓人絕望……|自說自話的總裁,https://www.youtube.com/watch?v=VGEhuyyq7Ts
真實的慈禧：童年貧苦，少年逆襲，壯年喪夫，中年喪子，這真的是一代妖后嗎？破解她一生的五大懸案，我們將看到一個癡迷權力的可怕女人……|自說自話的總裁,https://www.youtube.com/watch?v=QvK6GqIX-Mc
39年前，動用13顆衛星直播，演唱會上，這個男人無所畏懼，他用音樂點燃了全世界人心中的聖火，而自己卻身陷在黑暗之中……|自說自話的總裁,https://www.youtube.com/watch?v=h21AlSalsoY
世界頭號駭客：能用口哨發射核彈？從『FBI十大通緝犯』變成『全球最强網絡安全顧問』他不僅操控電腦，還操控人心……|自說自話的總裁,https://www.youtube.com/watch?v=mhGMuRU-RYw
96年前，一位木匠『偷學』醫典，一步步深入古老的醫學禁區，並創造了『忤逆上帝』的手術，他的故事被掩蓋60年，直到他的徒子徒孫決定將真相公之於眾……|自說自話的總裁,https://www.youtube.com/watch?v=nT2b9i_kNlY
洛克菲勒：人類有史以來第一位萬億富豪，他為何在汽車出現前就認定石油是經濟命脈，真是上帝告訴他的嗎？展開他一生的故事，其中真相，讓人扼腕……|自說自話的總裁,https://www.youtube.com/watch?v=oiiYS2ucp8c
另一位蘇聯特斯拉：謎一般的活到了1993年，故事鮮為人知，是列寧的CP，是艾森豪威爾的密友，是卓別林的夥伴，卻也是最神秘的間諜，最離奇的『聲之魔法師』，還是現代電音的鼻祖……|自說自話的總裁,https://www.youtube.com/watch?v=0UQ_shNI5ZI
馬斯克預言：2030年「AI崛起，智人退場」概率100%，可這是一個沒有賈伯斯（喬布斯）的時代，想當年，他也為蘋果布下過AI戰略，或許，我們的還有一個有關AI與未來的「喬氏可能」……|自說自話的總裁,https://www.youtube.com/watch?v=8Yp24P6yunA
NVIDIA：AI軍火商，從0到3萬億的瘋狂真相，他已掌控未來？|自說自話的總裁,https://www.youtube.com/watch?v=ZDvdK6Y8bms
已故教皇方濟各：預言中的末日教皇？世界將在他之後終結？爲什麽教皇大廳中充滿了核爆、重生與古蛇的形象？而方濟各卻在這蛇口之中，播放了一首名叫「斬殺」的音樂，難道一起正在到來？|自說自話的總裁,https://www.youtube.com/watch?v=aVTKAI6Wyyk
隨時下架：川普要斬殺美聯儲？被特赦的『暗網之王』，被炒作的『穩定幣』，以及川普、馬斯克和米萊共同信仰的那個神秘學派？我們的世界即將被『這學派』接管？美聯儲成為歷史？|自說自話的總裁,https://www.youtube.com/watch?v=DX_F9uhx6SA
太平洋系列,#genre#
100光年外，發現另一個顆地球，而我們逃離地球後又是什麼命運？原來，6000年前，史前檔案中已經幫我記錄了答案……|自說自話的總裁,https://www.youtube.com/watch?v=fKCwsKMmqkk
真實曆史：太平洋孤島，1女32男，共同生活7年，究竟會發生什麼故事……|自說自話的總裁,https://www.youtube.com/watch?v=zdyMymyHnNY
57年前，六個小夥兒流落荒島，一場『生存大逃殺』即將展開，但後來，人們卻從小島上發現了打破『黑暗森林法則』的辦法……|自說自話的總裁,https://www.youtube.com/watch?v=q51YTmbtdd4
為什麼說人類殖民星際，只會有四種結局？其實，早在四五千年前，人類祖先就已經幫我們模擬過未來星際時代的一切⋯⋯|自說自話的總裁,https://www.youtube.com/watch?v=4yMIs9P5O5g
2012年西安挖出唐代墓碑，是一位百濟將軍，他竟然說，最初的日本是在韓國首爾建立的，而深挖這條線索，我們竟然找到了一個更宏偉的太平洋故事……|自說自話的總裁,https://www.youtube.com/watch?v=PXB6zAAOrZM
為什麼說「男性氣概」是被發明出來的？為什麼南方男人總讓人覺得不夠陽剛？一切故事從1999年在夏威夷海灘上發現的四塊遠古巨石說起……|自說自話的總裁,https://www.youtube.com/watch?v=c_HvY5ZdRxs
繼續深挖，復活節島石像竟然是山東人建造！？這本後的故事也許和夸父追日、精衛填海還有刑天舞幹戚都有關……|自說自話的總裁,https://www.youtube.com/watch?v=2Tcm3JyZqYw
哥吉拉（哥斯拉）不是杜撰，它的墳墓位於太平洋的一座小島上，這裡即將被淹沒，而在它被淹沒前，我們來分享一個你可能還不知道的故事……|自說自話的總裁,https://www.youtube.com/watch?v=tipT8zHQt54
20年前，戴教授深入復活節島，破解石像之謎的過程中，又從這裏發現了地球監獄的真相……|自說自話的總裁,https://www.youtube.com/watch?v=Te4fsLihXSM
补遗系列,#genre#
曜變天目的都市傳說：萬安娘娘→摩王方臘→明王朱元璋→魔王織田信長，這背後有一個什麼樣的故事……|自說自話的總裁,https://www.youtube.com/watch?v=OYrjL1J1Ao8
繼續深挖，復活節島石像竟然是山東人建造！？這本後的故事也許和夸父追日、精衛填海還有刑天舞幹戚都有關……|自說自話的總裁,https://www.youtube.com/watch?v=2Tcm3JyZqYw
為什麼說「男性氣概」是被發明出來的？為什麼南方男人總讓人覺得不夠陽剛？一切故事從1999年在夏威夷海灘上發現的四塊遠古巨石說起……|自說自話的總裁,https://www.youtube.com/watch?v=c_HvY5ZdRxs
2012年西安挖出唐代墓碑，是一位百濟將軍，他竟然說，最初的日本是在韓國首爾建立的，而深挖這條線索，我們竟然找到了一個更宏偉的太平洋故事……|自說自話的總裁,https://www.youtube.com/watch?v=PXB6zAAOrZM
源自上古道家黑科技？除了中式帆裝，中式帆船還有另外三大絕世發明，一步步剖析上古造船科技，原來，上古中國也是一個南島故事？|自說自話的總裁,https://www.youtube.com/watch?v=_MRX6SuPelA
為什麼說氟是死亡元素？含氟牙膏到底是好是壞？也許看完這個故事，你能有屬於自己的判斷……|自說自話的總裁,https://www.youtube.com/watch?v=zYRsunGWqeE
為什麼說人類殖民星際，只會有四種結局？其實，早在四五千年前，人類祖先就已經幫我們模擬過未來星際時代的一切⋯⋯|自說自話的總裁,https://www.youtube.com/watch?v=4yMIs9P5O5g
山就在那裡，這句話的背後是一座遍佈著300多具遺體的聖母峰⋯⋯|自說自話的總裁,https://www.youtube.com/watch?v=Yx_S40vPryU
如何從占星術推導出微積分，我們來看看牛頓當年是如何做到的……|自說自話的總裁,https://www.youtube.com/watch?v=z2mcYiGM0Kk
營口追龍：一個懸疑了88年的傳奇案件，龍到底存不存在？|自說自話的總裁,https://www.youtube.com/watch?v=II3snFe6pos
