
『4✬K』,#genre#
CCTV15-BP,http://115.190.105.236/bptv/3221226460.m3u8
CCTV16-BP,http://115.190.105.236/bptv/3221227002.m3u8
CCTV17-BP,http://115.190.105.236/bptv/3221226459.m3u8
CCTV1,http://115.190.105.236:8123/live/cctv1?token=migu
CCTV2,http://115.190.105.236:8123/live/cctv2?token=migu
CCTV3,http://115.190.105.236:8123/live/cctv3?token=migu
CCTV4,http://115.190.105.236:8123/live/cctv4?token=migu
CCTV5,http://115.190.105.236:8123/live/cctv5?token=migu
CCTV5+,http://115.190.105.236:8123/live/cctv5p?token=migu
CCTV6,http://115.190.105.236:8123/live/cctv6?token=migu
CCTV7,http://115.190.105.236:8123/live/cctv7?token=migu
CCTV8,http://115.190.105.236:8123/live/cctv8?token=migu
CCTV9,http://115.190.105.236:8123/live/cctv9?token=migu
CCTV10,http://115.190.105.236:8123/live/cctv10?token=migu
CCTV11,http://115.190.105.236:8123/live/cctv11?token=migu
CCTV12,http://115.190.105.236:8123/live/cctv12?token=migu
CCTV13,http://115.190.105.236:8123/live/cctv13?token=migu
CCTV14,http://115.190.105.236:8123/live/cctv14?token=migu
CCTV15,http://115.190.105.236:8123/live/cctv15?token=migu
CCTV16,http://115.190.105.236:8123/live/cctv16?token=migu
CCTV17,http://115.190.105.236:8123/live/cctv17?token=migu
CCTV1,http://120.46.177.235:90/cqyx.php?id=cctv1HD
CCTV2,http://120.46.177.235:90/cqyx.php?id=cctv2HD
CCTV3,http://120.46.177.235:90/cqyx.php?id=cctv3HD
CCTV4,http://120.46.177.235:90/cqyx.php?id=cctv4HD
CCTV5,http://120.46.177.235:90/cqyx.php?id=cctv5HD
CCTV5+,http://120.46.177.235:90/cqyx.php?id=cctv5SportHD
CCTV6,http://120.46.177.235:90/cqyx.php?id=cctv6HD
CCTV7,http://120.46.177.235:90/cqyx.php?id=cctv7HD
CCTV8,http://120.46.177.235:90/cqyx.php?id=cctv8HD
CCTV9,http://120.46.177.235:90/cqyx.php?id=cctv9HD
CCTV10,http://120.46.177.235:90/cqyx.php?id=cctv10HD
CCTV11,http://120.46.177.235:90/cqyx.php?id=cctv11HD
CCTV12,http://120.46.177.235:90/cqyx.php?id=cctv12HD
CCTV13,http://120.46.177.235:90/cqyx.php?id=CCTVNewsHD
CCTV14,http://120.46.177.235:90/cqyx.php?id=cctvseHD
CCTV15,http://120.46.177.235:90/cqyx.php?id=cctv15HD
CCTV16,http://120.46.177.235:90/cqyx.php?id=cctv16HD
CCTV17,http://120.46.177.235:90/cqyx.php?id=cctv17HD
CGTN,http://120.46.177.235:90/cqyx.php?id=cgtnSD
第一剧场,http://120.46.177.235:90/cqyx.php?id=diyijuchangHD
风云剧场,http://120.46.177.235:90/cqyx.php?id=fyjcHD
兵器科技,http://120.46.177.235:90/cqyx.php?id=bqkjHD
怀旧剧场,http://120.46.177.235:90/cqyx.php?id=hjjcHD
风云音乐,http://120.46.177.235:90/cqyx.php?id=fyyyHD
央视台球,http://120.46.177.235:90/cqyx.php?id=ystqHD
风云足球,http://120.46.177.235:90/cqyx.php?id=fyzqHD
央视文化精品,http://120.46.177.235:90/cqyx.php?id=yswhHD
高尔夫网球,http://120.46.177.235:90/cqyx.php?id=golfHD
女性时尚,http://120.46.177.235:90/cqyx.php?id=nvxing
中学生,http://120.46.177.235:90/cqyx.php?id=qicai
老故事,http://120.46.177.235:90/cqyx.php?id=gushi
『卫✬视』,#genre#
北京卫视,http://120.46.177.235:10000/hnuc.php?id=bjws
东方卫视,http://120.46.177.235:10000/hnuc.php?id=dfws
天津卫视,http://120.46.177.235:10000/hnuc.php?id=tjws
重庆卫视,http://120.46.177.235:10000/hnuc.php?id=cqws
黑龙江卫视,http://120.46.177.235:10000/hnuc.php?id=hljws
辽宁卫视,http://120.46.177.235:10000/hnuc.php?id=lnws
内蒙古卫视,http://120.46.177.235:10000/hnuc.php?id=nmws
宁夏卫视,http://120.46.177.235:10000/hnuc.php?id=nxws
甘肃卫视,http://120.46.177.235:10000/hnuc.php?id=gsws
山西卫视,http://120.46.177.235:10000/hnuc.php?id=sxiws
山东卫视,http://120.46.177.235:10000/hnuc.php?id=sdws
安徽卫视,http://120.46.177.235:10000/hnuc.php?id=ahws
湖南卫视,http://120.46.177.235:10000/hnuc.php?id=hunws
浙江卫视,http://120.46.177.235:10000/hnuc.php?id=zjws
东南卫视,http://120.46.177.235:10000/hnuc.php?id=dnws
厦门卫视,http://120.46.177.235:10000/hnuc.php?id=xmws
深圳卫视,http://120.46.177.235:10000/hnuc.php?id=szws
广西卫视,http://120.46.177.235:10000/hnuc.php?id=gxws
云南卫视,http://120.46.177.235:10000/hnuc.php?id=ynws
贵州卫视,http://120.46.177.235:10000/hnuc.php?id=gzws
四川卫视,http://120.46.177.235:10000/hnuc.php?id=scws
新疆卫视,http://120.46.177.235:10000/hnuc.php?id=xjws
兵团卫视,http://120.46.177.235:10000/hnuc.php?id=bgws
西藏卫视,http://120.46.177.235:10000/hnuc.php?id=xzws
海南卫视,http://120.46.177.235:10000/hnuc.php?id=hinws
三沙卫视,http://120.46.177.235:10000/hnuc.php?id=ssws
吉林卫视,http://120.46.177.235:10000/hnuc.php?id=jlws
青海卫视,http://120.46.177.235:10000/hnuc.php?id=qhws
陕西卫视,http://120.46.177.235:10000/hnuc.php?id=sxws
河南卫视,http://120.46.177.235:10000/hnuc.php?id=hnws
湖北卫视,http://120.46.177.235:10000/hnuc.php?id=hubws
江西卫视,http://120.46.177.235:10000/hnuc.php?id=jxws
江苏卫视,http://120.46.177.235:10000/hnuc.php?id=jsws
海峡卫视,http://120.46.177.235:10000/hnuc.php?id=hxws
广东卫视,http://120.46.177.235:10000/hnuc.php?id=gdws
山东教育卫视,http://120.46.177.235:10000/hnuc.php?id=sdjy
东方卫视-MG,https://115.190.105.236/mgtv/651632648.m3u8
江苏卫视-MG,https://115.190.105.236/mgtv/623899368.m3u8
广东卫视-MG,https://115.190.105.236/mgtv/608831231.m3u8
江西卫视-MG,https://115.190.105.236/mgtv/783847495.m3u8
河南卫视-MG,https://115.190.105.236/mgtv/790187291.m3u8
陕西卫视-MG,https://115.190.105.236/mgtv/738910838.m3u8
大湾区卫视-MG,https://115.190.105.236/mgtv/608917627.m3u8
湖北卫视-MG,https://115.190.105.236/mgtv/947472496.m3u8
吉林卫视-MG,https://115.190.105.236/mgtv/947472500.m3u8
青海卫视-MG,https://115.190.105.236/mgtv/947472506.m3u8
东南卫视-MG,https://115.190.105.236/mgtv/849116810.m3u8
海南卫视-MG,https://115.190.105.236/mgtv/947472502.m3u8
海峡卫视-MG,https://115.190.105.236/mgtv/849119120.m3u8
北京卫视-NP,https://115.190.105.236/nptv/beijing.m3u8
北京卫视-NP,https://115.190.105.236/nptv/beijing.m3u8
湖南卫视-NP,https://115.190.105.236/nptv/hunan.m3u8
江苏卫视-NP,https://115.190.105.236/nptv/jiangsu.m3u8
东方卫视-NP,https://115.190.105.236/nptv/dongfang.m3u8
浙江卫视-NP,https://115.190.105.236/nptv/zhejiang.m3u8
湖北卫视-NP,https://115.190.105.236/nptv/hubei.m3u8
天津卫视-NP,https://115.190.105.236/nptv/tianjing.m3u8
山东卫视-NP,https://115.190.105.236/nptv/shandong.m3u8
辽宁卫视-NP,https://115.190.105.236/nptv/liaoning.m3u8
安徽卫视-NP,https://115.190.105.236/nptv/anhui.m3u8
黑龙江卫视-NP,https://115.190.105.236/nptv/heilongjiang.m3u8
贵州卫视-NP,https://115.190.105.236/nptv/guizhou.m3u8
东南卫视-NP,https://115.190.105.236/nptv/dongnan.m3u8
重庆卫视-NP,https://115.190.105.236/nptv/chongqing.m3u8
江西卫视-NP,https://115.190.105.236/nptv/jiangxi.m3u8
广东卫视-NP,https://115.190.105.236/nptv/guangdong.m3u8
河北卫视-NP,https://115.190.105.236/nptv/hebei.m3u8
深圳卫视-NP,https://115.190.105.236/nptv/shenzheng.m3u8
吉林卫视-NP,https://115.190.105.236/nptv/jiling.m3u8
河南卫视-NP,https://115.190.105.236/nptv/henan.m3u8
四川卫视-NP,https://115.190.105.236/nptv/sichuan.m3u8
河北卫视-NP,https://115.190.105.236/nptv/hebei.m3u8
广西卫视-NP,https://115.190.105.236/nptv/guangxi.m3u8
陕西卫视-NP,https://115.190.105.236/nptv/shanxiws.m3u8
山西卫视-NP,https://115.190.105.236/nptv/shanxi.m3u8
内蒙古卫视-NP,https://115.190.105.236/nptv/neimenggu.m3u8
青海卫视-NP,https://115.190.105.236/nptv/qinghai.m3u8
海南卫视-NP,https://115.190.105.236/nptv/hainan.m3u8
宁夏卫视-NP,https://115.190.105.236/nptv/ningxia.m3u8
西藏卫视-NP,https://115.190.105.236/nptv/xizang.m3u8
新疆卫视-NP,https://115.190.105.236/nptv/xinjiang.m3u8
甘肃卫视-NP,https://115.190.105.236/nptv/gansu.m3u8
云南卫视-NP,https://115.190.105.236/nptv/yunnan.m3u8
兵团卫视-NP,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
湖南卫视-BP,http://115.190.105.236/bptv/3221226509.m3u8
东方卫视-BP,http://115.190.105.236/bptv/3221226898.m3u8
江苏卫视-BP,http://115.190.105.236/bptv/3221226897.m3u8
广东卫视-BP,http://115.190.105.236/bptv/3221226238.m3u8
浙江卫视-BP,http://115.190.105.236/bptv/3221226899.m3u8
北京卫视-BP,http://115.190.105.236/bptv/3221226900.m3u8
深圳卫视-BP,http://115.190.105.236/bptv/3221226245.m3u8
天津卫视-BP,http://115.190.105.236/bptv/3221226246.m3u8
山东卫视-BP,http://115.190.105.236/bptv/3221226244.m3u8
安徽卫视-BP,http://115.190.105.236/bptv/3221226499.m3u8
江西卫视-BP,http://115.190.105.236/bptv/3221226243.m3u8
黑龙江卫视-BP,http://115.190.105.236/bptv/3221226239.m3u8
四川卫视-BP,http://115.190.105.236/bptv/3221226523.m3u8
贵州卫视-BP,http://115.190.105.236/bptv/3221226497.m3u8
湖北卫视-BP,http://115.190.105.236/bptv/3221226240.m3u8
辽宁卫视-BP,http://115.190.105.236/bptv/3221226500.m3u8
广西卫视-BP,http://115.190.105.236/bptv/3221226534.m3u8
重庆卫视-BP,http://115.190.105.236/bptv/3221226569.m3u8
东南卫视-BP,http://115.190.105.236/bptv/3221226496.m3u8
吉林卫视-BP,http://115.190.105.236/bptv/3221226886.m3u8
海南卫视-BP,http://115.190.105.236/bptv/3221226574.m3u8
云南卫视-BP,http://115.190.105.236/bptv/3221226543.m3u8
厦门卫视-BP,http://115.190.105.236/bptv/3221226542.m3u8
河南卫视-BP,http://115.190.105.236/bptv/3221226525.m3u8
河北卫视-BP,http://115.190.105.236/bptv/3221226507.m3u8
陕西卫视-BP,http://115.190.105.236/bptv/3221226532.m3u8
山西卫视-BP,http://115.190.105.236/bptv/3221226531.m3u8
甘肃卫视-BP,http://115.190.105.236/bptv/3221226545.m3u8
宁夏卫视-BP,http://115.190.105.236/bptv/3221226528.m3u8
青海卫视-BP,http://115.190.105.236/bptv/3221226529.m3u8
西藏卫视-BP,http://115.190.105.236/bptv/3221226527.m3u8
新疆卫视-BP,http://115.190.105.236/bptv/3221226546.m3u8
内蒙古卫视-BP,http://115.190.105.236/bptv/3221226530.m3u8
三沙卫视-BP,http://115.190.105.236/bptv/3221226544.m3u8
延边卫视-BP,http://115.190.105.236/bptv/3221227045.m3u8
兵团卫视-BP,http://115.190.105.236/bptv/3221226541.m3u8
康巴卫视-BP,http://115.190.105.236/bptv/3221227027.m3u8
浙江卫视,http://120.46.177.235:90/cqyx.php?id=zhejiangHD
江苏卫视,http://120.46.177.235:90/cqyx.php?id=jiangsuHD
北京卫视,http://120.46.177.235:90/cqyx.php?id=beijingHD
东方卫视,http://120.46.177.235:90/cqyx.php?id=shanghaiHD
安徽卫视,http://120.46.177.235:90/cqyx.php?id=anhuiSD
广东卫视,http://120.46.177.235:90/cqyx.php?id=guangdongHD
深圳卫视,http://120.46.177.235:90/cqyx.php?id=shenzhenHD
辽宁卫视,http://120.46.177.235:90/cqyx.php?id=liaoningHD
海南卫视,http://120.46.177.235:90/cqyx.php?id=hainanSD
天津卫视,http://120.46.177.235:90/cqyx.php?id=tianjinHD
重庆卫视,http://120.46.177.235:90/cqyx.php?id=chongqingHD
东南卫视,http://120.46.177.235:90/cqyx.php?id=dongnanHD
广西卫视,http://120.46.177.235:90/cqyx.php?id=guangxiHD
贵州卫视,http://120.46.177.235:90/cqyx.php?id=guizhouHD
河北卫视,http://120.46.177.235:90/cqyx.php?id=hebeiSD
黑龙江卫视,http://120.46.177.235:90/cqyx.php?id=heilongjiangHD
河南卫视,http://120.46.177.235:90/cqyx.php?id=henanHD
湖北卫视,http://120.46.177.235:90/cqyx.php?id=hubeiSD
江西卫视,http://120.46.177.235:90/cqyx.php?id=jiangxiHD
吉林卫视,http://120.46.177.235:90/cqyx.php?id=jilinHD
内蒙古卫视,http://120.46.177.235:90/cqyx.php?id=neimengkuSD
宁夏卫视,http://120.46.177.235:90/cqyx.php?id=ningxia
云南卫视,http://120.46.177.235:90/cqyx.php?id=yunnanSD
三沙卫视,http://120.46.177.235:90/cqyx.php?id=sanshaSD
四川卫视,http://120.46.177.235:90/cqyx.php?id=sichuanHD
湖南卫视,http://120.46.177.235:90/cqyx.php?id=hunanHD
兵团卫视,http://120.46.177.235:90/cqyx.php?id=bingtuanSD
青海卫视,http://120.46.177.235:90/cqyx.php?id=qinghaiSD
山东教育卫视,http://120.46.177.235:90/cqyx.php?id=sdjiaoyuSD
『数✬字』,#genre#
卡酷少儿,http://120.46.177.235:10000/hnuc.php?id=kkse
新动漫,http://120.46.177.235:10000/hnuc.php?id=xdm
金鹰纪实,http://120.46.177.235:10000/hnuc.php?id=jyjs
金鹰卡通,http://120.46.177.235:10000/hnuc.php?id=jykt
嘉佳卡通,http://120.46.177.235:10000/hnuc.php?id=jjkt
CETV1,http://120.46.177.235:10000/hnuc.php?id=cetv1
CETV2,http://120.46.177.235:10000/hnuc.php?id=cetv2
CETV4,http://120.46.177.235:10000/hnuc.php?id=cetv4
CHC影迷电影,http://120.46.177.235:10000/hnuc.php?id=chcym
CHC动作电影,http://120.46.177.235:10000/hnuc.php?id=chcdz
CHC家庭影院,http://120.46.177.235:10000/hnuc.php?id=chcjt
河南卫视4K,http://120.46.177.235:10000/hnuc.php?id=hnws4k
CHC影迷电影-MG,https://115.190.105.236/mgtv/952383261.m3u8
CHC动作电影-MG,https://115.190.105.236/mgtv/644368714.m3u8
CHC家庭影院-MG,https://115.190.105.236/mgtv/644368373.m3u8
嘉佳卡通-MG,https://115.190.105.236/mgtv/614952364.m3u8
CETV1-MG,https://115.190.105.236/mgtv/923287154.m3u8
CETV2-MG,https://115.190.105.236/mgtv/923287211.m3u8
CETV4-MG,https://115.190.105.236/mgtv/923287339.m3u8
CETV1-NP,https://115.190.105.236/nptv/cetv1.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
优漫卡通-MG,https://115.190.105.236/mgtv/626064703.m3u8
上海新闻综合-MG,https://115.190.105.236/mgtv/651632657.m3u8
上视东方影视-MG,https://115.190.105.236/mgtv/617290047.m3u8
上海第一财经-MG,https://115.190.105.236/mgtv/608780988.m3u8
南京新闻综合-MG,https://115.190.105.236/mgtv/838109047.m3u8
南京教科-MG,https://115.190.105.236/mgtv/838153729.m3u8
南京十八-MG,https://115.190.105.236/mgtv/838151753.m3u8
江苏体育休闲-MG,https://115.190.105.236/mgtv/626064707.m3u8
江苏城市-MG,https://115.190.105.236/mgtv/626064714.m3u8
江苏国际-MG,https://115.190.105.236/mgtv/626064674.m3u8
江苏教育-MG,https://115.190.105.236/mgtv/628008321.m3u8
江苏影视-MG,https://115.190.105.236/mgtv/626064697.m3u8
江苏综艺-MG,https://115.190.105.236/mgtv/626065193.m3u8
睛彩青少,http://115.190.105.236/bptv/3221227000.m3u8
黑莓电影,http://115.190.105.236/bptv/3221226939.m3u8
黑莓动画,http://115.190.105.236/bptv/3221226935.m3u8
哒啵赛事,http://115.190.105.236/bptv/3221226938.m3u8
哒啵电竞,http://115.190.105.236/bptv/3221226889.m3u8
NEWTV超级电视剧,http://115.190.105.236/bptv/3221226972.m3u8
NEWTV超级电影,http://115.190.105.236/bptv/3221226233.m3u8
CHC动作电影,http://115.190.105.236/bptv/3221226974.m3u8
NEWTV家庭剧场,http://115.190.105.236/bptv/3221226981.m3u8
NEWTV惊悚悬疑,http://115.190.105.236/bptv/3221227013.m3u8
NEWTV精品大剧,http://115.190.105.236/bptv/3221226970.m3u8
NEWTV明星大片,http://115.190.105.236/bptv/3221227008.m3u8
NEWTV军旅剧场,http://115.190.105.236/bptv/3221226967.m3u8
NEWTV古装剧场,http://115.190.105.236/bptv/3221226986.m3u8
NEWTV欢乐剧场,http://115.190.105.236/bptv/3221226969.m3u8
NEWTV爱情喜剧,http://115.190.105.236/bptv/3221226989.m3u8
NEWTV精品纪录,http://115.190.105.236/bptv/3221226977.m3u8
NEWTV超级体育,http://115.190.105.236/bptv/3221226232.m3u8
NEWTV精品体育,http://115.190.105.236/bptv/3221226978.m3u8
NEWTV中国功夫,http://115.190.105.236/bptv/3221226988.m3u8
NEWTV超级综艺,http://115.190.105.236/bptv/3221226231.m3u8
NEWTV金牌综艺,http://115.190.105.236/bptv/3221227004.m3u8
NEWTV炫舞未来,http://115.190.105.236/bptv/3221226968.m3u8
NEWTV农业致富,http://115.190.105.236/bptv/3221226962.m3u8
NEWTV军事评论,http://115.190.105.236/bptv/3221226985.m3u8
NEWTV精品萌宠,http://115.190.105.236/bptv/3221226976.m3u8
NEWTV潮妈辣婆,http://115.190.105.236/bptv/3221226980.m3u8
NEWTV怡伴健康,http://115.190.105.236/bptv/3221226984.m3u8
NEWTV武搏世界,http://115.190.105.236/bptv/3221226992.m3u8
金鹰纪实,http://115.190.105.236/bptv/3221226572.m3u8
北京淘电影,http://115.190.105.236/bptv/3221226552.m3u8
北京淘剧场,http://115.190.105.236/bptv/3221226553.m3u8
北京淘娱乐,http://115.190.105.236/bptv/3221226551.m3u8
北京淘BABY,http://115.190.105.236/bptv/3221226554.m3u8
北京萌宠TV,http://115.190.105.236/bptv/3221226555.m3u8
北京重温经典,http://115.190.105.236/bptv/3221226556.m3u8
北京纪实,http://115.190.105.236/bptv/3221226559.m3u8
北京体育休闲,http://115.190.105.236/bptv/3221226438.m3u8
北京财经,http://115.190.105.236/bptv/3221226560.m3u8
北京国际频道,http://115.190.105.236/bptv/3221226510.m3u8
北京生活,http://115.190.105.236/bptv/3221226561.m3u8
北京文艺,http://115.190.105.236/bptv/3221226440.m3u8
北京新闻,http://115.190.105.236/bptv/3221226437.m3u8
北京影视,http://115.190.105.236/bptv/3221226486.m3u8
中国天气,http://120.46.177.235:90/cqyx.php?id=tianqiSD
CETV1,http://120.46.177.235:90/cqyx.php?id=cetv-1SD
CETV4,http://120.46.177.235:90/cqyx.php?id=cetv-4SD
卡酷少儿,http://120.46.177.235:90/cqyx.php?id=bjkakuSD
金鹰卡通,http://120.46.177.235:90/cqyx.php?id=jinyingSD
生活时尚,http://120.46.177.235:90/cqyx.php?id=shenghuo
百姓健康,http://120.46.177.235:90/cqyx.php?id=jiankangSD
快乐垂钓,http://120.46.177.235:90/cqyx.php?id=klcdHD
都市剧场,http://120.46.177.235:90/cqyx.php?id=dsjcHD
动漫秀场,http://120.46.177.235:90/cqyx.php?id=dmxcHD
魅力足球,http://120.46.177.235:90/cqyx.php?id=mlzqHD
求索纪录,http://120.46.177.235:90/cqyx.php?id=qsjlHD
游戏风云,http://120.46.177.235:90/cqyx.php?id=yxfyHD
早期教育,http://120.46.177.235:90/cqyx.php?id=zaojiaoHD
爱看导视,http://120.46.177.235:90/cqyx.php?id=aikanHD
重广融媒,http://120.46.177.235:90/cqyx.php?id=cqrongmei
优购物,http://120.46.177.235:90/cqyx.php?id=yougouwu
家家购物,http://120.46.177.235:90/cqyx.php?id=jjgw
风尚购物,http://120.46.177.235:90/cqyx.php?id=fsgw
聚鲨环球精选,http://120.46.177.235:90/cqyx.php?id=jusha
家有购物,http://120.46.177.235:90/cqyx.php?id=jygw
央广购物,http://120.46.177.235:90/cqyx.php?id=yggw
东方财经,http://120.46.177.235:90/cqyx.php?id=dfcj
证券服务,http://120.46.177.235:90/cqyx.php?id=jiazheng
书画,http://120.46.177.235:90/cqyx.php?id=shuhua
新动漫,http://120.46.177.235:90/cqyx.php?id=dongman
国学,http://120.46.177.235:90/cqyx.php?id=guoxue
优优宝贝,http://120.46.177.235:90/cqyx.php?id=youxi
中华特产,http://120.46.177.235:90/cqyx.php?id=techan
环球奇观,http://120.46.177.235:90/cqyx.php?id=car
生态环境,http://120.46.177.235:90/cqyx.php?id=shengtai
四海钓鱼,http://120.46.177.235:90/cqyx.php?id=diaoyu
发现之旅,http://120.46.177.235:90/cqyx.php?id=faxian
车迷,http://120.46.177.235:90/cqyx.php?id=doxtv
法治天地,http://120.46.177.235:90/cqyx.php?id=fazhi
金色学堂,http://120.46.177.235:90/cqyx.php?id=jinse
收藏天下,http://120.46.177.235:90/cqyx.php?id=soucang
财富天下,http://120.46.177.235:90/cqyx.php?id=caifu
天元围棋,http://120.46.177.235:90/cqyx.php?id=weiqi
先锋乒羽,http://120.46.177.235:90/cqyx.php?id=xianfeng
环球旅游,http://120.46.177.235:90/cqyx.php?id=huanqiulvyou
摄影频道,http://120.46.177.235:90/cqyx.php?id=sheying
靓妆,http://120.46.177.235:90/cqyx.php?id=liang
北京纪实科教,http://120.46.177.235:90/cqyx.php?id=bjayjsSD
重庆新闻,http://120.46.177.235:90/cqyx.php?id=CQTVNewsHD
重庆影视,http://120.46.177.235:90/cqyx.php?id=cqyingshiHD
重庆社会与法,http://120.46.177.235:90/cqyx.php?id=CQTVTrendyHD
重庆时尚生活,http://120.46.177.235:90/cqyx.php?id=cqssgwHD
重庆文体娱乐,http://120.46.177.235:90/cqyx.php?id=cqwtylHD
重庆新农村,http://120.46.177.235:90/cqyx.php?id=cqggncHD
重庆少儿,http://120.46.177.235:90/cqyx.php?id=cqseHD
重庆科教,http://120.46.177.235:90/cqyx.php?id=CQTVkejiaoHD
