Sydney,#genre#
 9Life,https://i.mjh.nz/.r/life-vic.m3u8
 9Rush,https://i.mjh.nz/.r/rush-vic.m3u8
 ABC TV,https://c.mjh.nz/abc-vic.m3u8
 10,https://i.mjh.nz/.r/10-vic.m3u8
 10 BOLD,https://i.mjh.nz/.r/10bold-vic.m3u8
 10 Peach,https://i.mjh.nz/.r/10peach-vic.m3u8
 Nickelodeon,https://i.mjh.nz/.r/10shake-vic.m3u8
 Channel 31,https://i.mjh.nz/.r/c31.m3u8
 3AW Melbourne,https://i.mjh.nz/.r/3aw-melbourne.m3u8
 KIIS 101.1,https://i.mjh.nz/.r/radio-ih-6157.aac
 GOLD 104.3,https://i.mjh.nz/.r/radio-ih-6181.aac
 Gold 80s,https://i.mjh.nz/.r/radio-ih-10074.aac
 KIIS 90s,https://i.mjh.nz/.r/radio-ih-10070.aac
 ABC Radio Melbourne,https://i.mjh.nz/.r/radio-ih-7132
 Radio National,https://i.mjh.nz/.r/radio-ih-9688
 3MBS Fine Music Melbourne,https://i.mjh.nz/.r/radio-ih-6183.aac
 JOY,https://i.mjh.nz/.r/radio-ih-7547
 96.5 Inner FM,https://i.mjh.nz/.r/radio-ih-6328.aac
 Golden Days Radio,https://i.mjh.nz/.r/radio-ih-8676.aac
 3KND,https://i.mjh.nz/.r/radio-ih-6182.aac
 PBS 106.7FM,https://i.mjh.nz/.r/radio-ih-6316.aac
 3MDR,https://i.mjh.nz/.r/radio-ih-9522.aac
 88.6 Plenty Valley FM,https://i.mjh.nz/.r/radio-ih-9885.aac
 3CR Community Radio,https://i.mjh.nz/.r/radio-ih-9368.aac
 3ZZZ,https://i.mjh.nz/.r/radio-ih-9434.aac
 SYN,https://i.mjh.nz/.r/radio-ih-8670.aac
 89.9 TheLight,https://i.mjh.nz/.r/radio-ih-9105
 TheLight MIX,https://i.mjh.nz/.r/radio-ih-9106
 TheLight Worship,https://i.mjh.nz/.r/radio-ih-9177
 VA Radio Melbourne,https://i.mjh.nz/.r/radio-ih-9024.m3u8
 Radio Eastern FM,https://i.mjh.nz/.r/radio-ih-10367.aac
Brisbane,#genre#
 Seven,https://i.mjh.nz/.r/seven-bri.m3u8
 7two,https://i.mjh.nz/.r/7two-bri.m3u8
 7mate,https://i.mjh.nz/.r/7mate-bri.m3u8
 7flix,https://i.mjh.nz/.r/7flix-bri.m3u8
 Channel 9,https://i.mjh.nz/.r/channel-9-qld.m3u8
 9Gem,https://i.mjh.nz/.r/gem-qld.m3u8
 9Go!,https://i.mjh.nz/.r/go-qld.m3u8
 9Life,https://i.mjh.nz/.r/life-qld.m3u8
 9Rush,https://i.mjh.nz/.r/rush-qld.m3u8
 ABC TV,https://c.mjh.nz/abc-qld.m3u8
 10,https://i.mjh.nz/.r/10-qld.m3u8
 10 BOLD,https://i.mjh.nz/.r/10bold-qld.m3u8
 10 Peach,https://i.mjh.nz/.r/10peach-qld.m3u8
 Nickelodeon,https://i.mjh.nz/.r/10shake-qld.m3u8
 KIIS 97.3FM,https://i.mjh.nz/.r/radio-ih-6176.aac
 River 949,https://i.mjh.nz/.r/radio-ih-9287.aac
 CADA,https://i.mjh.nz/.r/radio-ih-6180.aac
 ABC Radio Brisbane,https://i.mjh.nz/.r/radio-ih-7127
 KIIS 80s,https://i.mjh.nz/.r/radio-ih-10075.aac
 KIIS 90s,https://i.mjh.nz/.r/radio-ih-10071.aac
 triple j,https://i.mjh.nz/.r/radio-ih-7973
 Double J,https://i.mjh.nz/.r/radio-ih-7969
 Radio National,https://i.mjh.nz/.r/radio-ih-8332
 ABC Classic,https://i.mjh.nz/.r/radio-ih-8326
 92.7 Mix FM,https://i.mjh.nz/.r/radio-ih-6333.m3u8
 Rebel 90.5 Logan,https://i.mjh.nz/.r/radio-ih-6923.pls
 Radio Logan 101FM,https://i.mjh.nz/.r/radio-ih-6325.pls
 4ZZZ,https://i.mjh.nz/.r/radio-ih-6310
 Bay FM 100.3,https://i.mjh.nz/.r/radio-ih-9440.aac
 Breeze 92.1 Logan,https://i.mjh.nz/.r/radio-ih-6700.pls
 96five,https://i.mjh.nz/.r/radio-ih-6309
 Radio 4RPH,https://i.mjh.nz/.r/radio-ih-6318
 4EB,https://i.mjh.nz/.r/radio-ih-6308.m3u8
 Triple A Murri Country,https://i.mjh.nz/.r/radio-ih-9041.m3u8
 99.7 Bridge FM,https://i.mjh.nz/.r/radio-ih-9042.m3u8
 Switch Brisbane,https://i.mjh.nz/.r/radio-ih-9981.aac
 Triple Y Grovely,https://i.mjh.nz/.r/radio-ih-9987
 Local Sounds Brisbane,https://i.mjh.nz/.r/radio-ih-10525
Perth,#genre#
 Seven,https://i.mjh.nz/.r/seven-per.m3u8
 7two,https://i.mjh.nz/.r/7two-per.m3u8
 7mate,https://i.mjh.nz/.r/7mate-per.m3u8
 7flix,https://i.mjh.nz/.r/7flix-per.m3u8
 Channel 9,https://i.mjh.nz/.r/channel-9-wa.m3u8
 9Gem,https://i.mjh.nz/.r/gem-wa.m3u8
 9Go!,https://i.mjh.nz/.r/go-wa.m3u8
 9Life,https://i.mjh.nz/.r/life-wa.m3u8
 9Rush,https://i.mjh.nz/.r/rush-wa.m3u8
 ABC TV,https://c.mjh.nz/abc-wa.m3u8
 10,https://i.mjh.nz/.r/10-wa.m3u8
 10 BOLD,https://i.mjh.nz/.r/10bold-wa.m3u8
 10 Peach,https://i.mjh.nz/.r/10peach-wa.m3u8
 Nickelodeon,https://i.mjh.nz/.r/10shake-wa.m3u8
 96FM,https://i.mjh.nz/.r/radio-ih-6708.aac
 ABC Radio Perth,https://i.mjh.nz/.r/radio-ih-7134
 6iX,https://i.mjh.nz/.r/radio-ih-9935.aac
 CADA,https://i.mjh.nz/.r/radio-ih-9381.aac
 96FM 80s,https://i.mjh.nz/.r/radio-ih-10077.aac
 triple j,https://i.mjh.nz/.r/radio-ih-7975
 Double J,https://i.mjh.nz/.r/radio-ih-7971
 Radio National,https://i.mjh.nz/.r/radio-ih-8334
 ABC Classic,https://i.mjh.nz/.r/radio-ih-8328
 ABC Goldfields,https://i.mjh.nz/.r/radio-ih-7146
 ABC Esperance,https://i.mjh.nz/.r/radio-ih-7999
 ABC Kimberley,https://i.mjh.nz/.r/radio-ih-7147
 ABC Pilbara,https://i.mjh.nz/.r/radio-ih-7148
 ABC South West WA,https://i.mjh.nz/.r/radio-ih-7149
 ABC Great Southern WA,https://i.mjh.nz/.r/radio-ih-8000
 ABC Mid West and Wheatbelt,https://i.mjh.nz/.r/radio-ih-8329
 My Perth DAB Radio,https://i.mjh.nz/.r/radio-ih-9942.aac
 RTR-FM,https://i.mjh.nz/.r/radio-ih-6322
 Curtin FM 100.1,https://i.mjh.nz/.r/radio-ih-6321
 Bunbury 103.7,https://i.mjh.nz/.r/radio-ih-6330.pls
 Sonshine,https://i.mjh.nz/.r/radio-ih-6332.aac
 Ngaarda Radio,https://i.mjh.nz/.r/radio-ih-10460.aac
 100.9FM Noongar Radio,https://i.mjh.nz/.r/radio-ih-6334
 Radio Margaret River,https://i.mjh.nz/.r/radio-ih-8841.aac
 Denmark FM,https://i.mjh.nz/.r/radio-ih-9248.m3u8
 Harvey Community Radio,https://i.mjh.nz/.r/radio-ih-9245.m3u8
 Voice of the Avon,https://i.mjh.nz/.r/radio-ih-9045.m3u8
 IPL Radio,https://i.mjh.nz/.r/radio-ih-9363
 Radio VCA 88.5 FM,https://i.mjh.nz/.r/radio-ih-9641.aac
 Great Southern FM,https://i.mjh.nz/.r/radio-ih-9437.aac
 freocast,https://i.mjh.nz/.r/radio-ih-9786
 VA Radio Perth,https://i.mjh.nz/.r/radio-ih-9026.m3u8
Adelaide,#genre#
 Seven,https://i.mjh.nz/.r/seven-ade.m3u8
 7two,https://i.mjh.nz/.r/7two-ade.m3u8
 7mate,https://i.mjh.nz/.r/7mate-ade.m3u8
 7flix,https://i.mjh.nz/.r/7flix-ade.m3u8
 Channel 9,https://i.mjh.nz/.r/channel-9-sa.m3u8
 9Gem,https://i.mjh.nz/.r/gem-sa.m3u8
 9Go!,https://i.mjh.nz/.r/go-sa.m3u8
 9Life,https://i.mjh.nz/.r/life-sa.m3u8
 9Rush,https://i.mjh.nz/.r/rush-sa.m3u8
 ABC TV,https://c.mjh.nz/abc-sa.m3u8
 10,https://i.mjh.nz/.r/10-sa.m3u8
 10 BOLD,https://i.mjh.nz/.r/10bold-sa.m3u8
 10 Peach,https://i.mjh.nz/.r/10peach-sa.m3u8
 Nickelodeon,https://i.mjh.nz/.r/10shake-sa.m3u8
 Channel 44,https://i.mjh.nz/.r/c44.m3u8
 Mix102.3,https://i.mjh.nz/.r/radio-ih-6184.aac
 Cruise 1323,https://i.mjh.nz/.r/radio-ih-6177.aac
 CADA,https://i.mjh.nz/.r/radio-ih-9383.aac
 ABC Radio Adelaide,https://i.mjh.nz/.r/radio-ih-7126
 Mix 80s,https://i.mjh.nz/.r/radio-ih-10076.aac
 Mix 90s,https://i.mjh.nz/.r/radio-ih-10072.aac
 Fresh 92.7 Adelaide,https://i.mjh.nz/.r/radio-ih-6313.aac
 triple j,https://i.mjh.nz/.r/radio-ih-7972
 Double J,https://i.mjh.nz/.r/radio-ih-7968
 Radio National,https://i.mjh.nz/.r/radio-ih-8331
 ABC Classic,https://i.mjh.nz/.r/radio-ih-8325
 Radio Adelaide,https://i.mjh.nz/.r/radio-ih-6319.pls
 Life FM,https://i.mjh.nz/.r/radio-ih-8879
 5KIXFM 90.7,https://i.mjh.nz/.r/radio-ih-9595.aac
 VA Radio Adelaide,https://i.mjh.nz/.r/radio-ih-9025.m3u8
 Three D Radio,https://i.mjh.nz/.r/radio-three-d-radio
 Nova 919,https://i.mjh.nz/.r/radio-nova-919
 Triple M Adelaide,https://i.mjh.nz/.r/radio-triple-m-adl.m3u8
 SAFM Adelaide,https://i.mjh.nz/.r/radio-safm-adl.m3u8
Canberra,#genre#
 ABC TV,https://c.mjh.nz/abc-act.m3u8
 Mix 106.3,https://i.mjh.nz/.r/radio-ih-6244.aac
 Hit104.7,https://i.mjh.nz/.r/radio-ih-6243.aac
 NIGE!,https://i.mjh.nz/.r/radio-ih-10060.aac
 ABC Radio Canberra,https://i.mjh.nz/.r/radio-ih-7128
 2CC,https://i.mjh.nz/.r/radio-ih-9950.aac
 2CA,https://i.mjh.nz/.r/radio-ih-9948.aac
 XLFM,https://i.mjh.nz/.r/radio-ih-9944.aac
 My Canberra DAB Radio,https://i.mjh.nz/.r/radio-ih-9949.aac
 Snow Digital,https://i.mjh.nz/.r/radio-ih-9951.aac
 2XX FM,https://i.mjh.nz/.r/radio-ih-9366.aac
 CMS Radio FM91.1,https://i.mjh.nz/.r/radio-ih-9262
 UCFM,https://i.mjh.nz/.r/radio-ih-10134
 Braidwood FM,https://i.mjh.nz/.r/radio-ih-9787
 Club Lime Radio,https://i.mjh.nz/.r/radio-ih-7093.aac
 Plus Fitness Radio,https://i.mjh.nz/.r/radio-ih-9661.aac
Darwin,#genre#
 ABC TV,https://c.mjh.nz/abc-nt.m3u8
 Hot 100 FM,https://i.mjh.nz/.r/radio-ih-9313.aac
 Mix 104.9 FM,https://i.mjh.nz/.r/radio-ih-9314.aac
 CADA,https://i.mjh.nz/.r/radio-ih-9382.aac
 ABC Radio Darwin,https://i.mjh.nz/.r/radio-ih-7130
 ABC Alice Springs,https://i.mjh.nz/.r/radio-ih-7137
 Territory FM,https://i.mjh.nz/.r/radio-ih-6326
 8CCC Radio,https://i.mjh.nz/.r/radio-ih-8675.pls
 Katherine FM,https://i.mjh.nz/.r/radio-ih-9365.aac
 triple j,https://i.mjh.nz/.r/radio-ih-7974
 Double J,https://i.mjh.nz/.r/radio-ih-7970
 Radio National,https://i.mjh.nz/.r/radio-ih-8333
 ABC Classic,https://i.mjh.nz/.r/radio-ih-8327
 VA Radio Darwin,https://i.mjh.nz/.r/radio-ih-9027.m3u8
 Electric Banana Lounge,https://i.mjh.nz/.r/radio-ih-8336
 Test Stream Two,https://i.mjh.nz/.r/radio-ih-8809
 Stream TECH,https://i.mjh.nz/.r/radio-ih-8525.aac
 Test Stream One A,https://i.mjh.nz/.r/radio-ih-6492
Hobart,#genre#
 ABC TV,https://c.mjh.nz/abc-tas.m3u8
 7HOFM 101.7 FM,https://i.mjh.nz/.r/radio-ih-9307.aac
 7HO River,https://i.mjh.nz/.r/radio-ih-9334.aac
 7HO Classic Hits,https://i.mjh.nz/.r/radio-ih-9333.aac
 ABC Radio Hobart,https://i.mjh.nz/.r/radio-ih-7131
 slam! Hobart,https://i.mjh.nz/.r/radio-ih-6331
 Radio National,https://i.mjh.nz/.r/radio-ih-9687
 Edge Radio,https://i.mjh.nz/.r/radio-ih-9621
Au,#genre#
 Border Security Australia,https://i.mjh.nz/.r/bordersecurityaustralia-FAST.m3u8
 Racing.com,https://i.mjh.nz/.r/racing-FAST.m3u8
 ausbiz,https://i.mjh.nz/.r/ausbiz-FAST.m3u8
 Hardcore Pawn,https://i.mjh.nz/.r/hardcorepawn-FAST.m3u8
 Racing WA,https://i.mjh.nz/.r/racingwa-FAST.m3u8
 Outdoor Channel,https://i.mjh.nz/.r/outdoor-FAST.m3u8
 All Saints,https://i.mjh.nz/.r/allsaints-FAST.m3u8
 Supercars Replays,https://i.mjh.nz/.r/supercarsreplays-FAST.m3u8
 Travel Australia,https://i.mjh.nz/.r/travelaus-FAST.m3u8
 Big Brother,https://i.mjh.nz/.r/bigbrother-FAST.m3u8
 Better Homes And Gardens,https://i.mjh.nz/.r/betterhomesandgardens-FAST.m3u8
 Bathurst Throwback,https://i.mjh.nz/.r/cas33-FAST.m3u8
 AFLW Replays,https://i.mjh.nz/.r/aflwreplays-FAST.m3u8
 Mighty Machines,https://i.mjh.nz/.r/mightymachines-FAST.m3u8
 Crazy In Love,https://i.mjh.nz/.r/cas21-FAST.m3u8
 On The Case,https://i.mjh.nz/.r/onthecase-FAST.m3u8
 Bondi Vet,https://i.mjh.nz/.r/cas24-FAST.m3u8
 Australia's Got Talent,https://i.mjh.nz/.r/cas25-FAST.m3u8
 Home and Away Classics,https://i.mjh.nz/.r/cas26-FAST.m3u8
 7now,https://i.mjh.nz/.r/7now-FAST.m3u8
 LIV Golf Replays,https://i.mjh.nz/.r/livgolfreplays-FAST.m3u8
 Cooking & Culture,https://i.mjh.nz/.r/cas29-FAST.m3u8
 Water Rats,https://i.mjh.nz/.r/waterrats-FAST.m3u8
 State League Footy Replays,https://i.mjh.nz/.r/cas31-FAST.m3u8
 7NEWS Spotlight,https://i.mjh.nz/.r/cas32-FAST.m3u8
 MyTime Movie Network,https://i.mjh.nz/.r/mytimemovienetwork-FAST.m3u8
 Action Hollywood Movies,https://i.mjh.nz/.r/ahm-FAST.m3u8
 Wicked Tuna,https://i.mjh.nz/.r/wtn-FAST.m3u8
 Winners and Losers,https://i.mjh.nz/.r/winnersnlosers-FAST.m3u8
 Property Dreams,https://i.mjh.nz/.r/propertydreams-FAST.m3u8
 Outback Truckers,https://i.mjh.nz/.r/outbacktruckers-FAST.m3u8
 Anglers Paradise,https://i.mjh.nz/.r/anglersparadise-FAST.m3u8
 ONE Fight Replays,https://i.mjh.nz/.r/onefightreplays-FAST.m3u8
 All-Star Cinema,https://i.mjh.nz/.r/all-starcinema-FAST.m3u8
 Blue Light,https://i.mjh.nz/.r/bluelight-FAST.m3u8
 MovieSphere,https://i.mjh.nz/.r/moviesphere-FAST.m3u8
 Medical And Rescue,https://i.mjh.nz/.r/medicalnrescue-FAST.m3u8
 Blue Heelers,https://i.mjh.nz/.r/blueheelers-FAST.m3u8
 SAS Australia,https://i.mjh.nz/.r/sasaustralia-FAST.m3u8
 A Country Practice,https://i.mjh.nz/.r/acountrypractice-FAST.m3u8
 Surfing,https://i.mjh.nz/.r/wsl-FAST.m3u8
 Alien Nation,https://i.mjh.nz/.r/aliennation-FAST.m3u8
 Antiques Road Trip,https://i.mjh.nz/.r/art-FAST.m3u8
 HauntTV,https://i.mjh.nz/.r/htv-FAST.m3u8
 River Monsters,https://i.mjh.nz/.r/rmc-FAST.m3u8
 7Bravo,https://i.mjh.nz/.r/7bravo-FAST.m3u8
 Hells Kitchen,https://i.mjh.nz/.r/heki-FAST.m3u8
 Fail Army,https://i.mjh.nz/.r/far-FAST.m3u8
 Taste,https://i.mjh.nz/.r/taste-FAST.m3u8
 Boxing Replays,https://i.mjh.nz/.r/boxingreplays-FAST.m3u8
 TVSN,https://i.mjh.nz/.r/tvsn-FAST.m3u8
 Escape to the Country,https://i.mjh.nz/.r/etc-FAST.m3u8
 Nick Jr Club,https://i.mjh.nz/.r/10-nick-jr.m3u8
 NickTeen,https://i.mjh.nz/.r/10-nickteen.m3u8
 NickToons,https://i.mjh.nz/.r/10-nicktoons.m3u8
 NickToons 90s,https://i.mjh.nz/.r/10-nicktoons-90s.m3u8
 Nickelodeon Classics,https://i.mjh.nz/.r/10-nick-classics.m3u8
 MTV Reality,https://i.mjh.nz/.r/10-mtv-reality.m3u8
 MTV Dating,https://i.mjh.nz/.r/10-mtv-dating.m3u8
 MTV Biggest Pop,https://i.mjh.nz/.r/10-mtv-biggest-pop.m3u8
 MTV Love,https://i.mjh.nz/.r/10-mtv-love.m3u8
 Judge Judy,https://i.mjh.nz/.r/10-judge-judy.m3u8
 South Park: Halloween,https://i.mjh.nz/.r/10-south-park-two.m3u8
 South Park,https://i.mjh.nz/.r/10-south-park.m3u8
 MasterChef,https://i.mjh.nz/.r/10-masterchef.m3u8
 Haunt TV,https://i.mjh.nz/.r/10-haunt-tv.m3u8
 NatureTime,https://i.mjh.nz/.r/10-naturetime.m3u8
 True Stories,https://i.mjh.nz/.r/10-true-stories.m3u8
 Baywatch,https://i.mjh.nz/.r/10-buzzrbaywatch.m3u8
 Prisoner,https://i.mjh.nz/.r/10-prisoner.m3u8
 Merlin,https://i.mjh.nz/.r/10-merlin.m3u8
 Offspring,https://i.mjh.nz/.r/10-aussiedramapopup.m3u8
 Wicked Tuna,https://i.mjh.nz/.r/10-wicked-tuna.m3u8
 Moviesphere,https://i.mjh.nz/.r/10-moviesphere.m3u8
 Beverly Hills 90210,https://i.mjh.nz/.r/10-beverlyhills90210.m3u8
 Diagnosis Murder,https://i.mjh.nz/.r/10-diagnosismurder.m3u8
 Bondi Rescue,https://i.mjh.nz/.r/10-bondi-rescue.m3u8
 Medical Emergency,https://i.mjh.nz/.r/10-medical-emergency.m3u8
 48 Hours,https://i.mjh.nz/.r/10-forty-eight-hours.m3u8
 America's Next Top Model,https://i.mjh.nz/.r/10-americas-next-top-model.m3u8
 Survivor US,https://i.mjh.nz/.r/10-survivor-us.m3u8
 Becker,https://i.mjh.nz/.r/10-becker.m3u8
 The Twilight Zone,https://i.mjh.nz/.r/10-the-twilight-zone.m3u8
 Gecko TV,https://i.mjh.nz/.r/10-geckotv.m3u8
 MTV Best Of...,https://i.mjh.nz/.r/10-mtvmusic.m3u8
 Halloween Movies,https://i.mjh.nz/.r/10-seasonalmovies.m3u8
 The Dog House,https://i.mjh.nz/.r/10-thedoghouse.m3u8
 MTV Geordie Shore,https://i.mjh.nz/.r/10-mtvgeordieshore.m3u8
 MTV Ridiculousness,https://i.mjh.nz/.r/10-mtvridiculousness.m3u8
 Ghost Hunters,https://i.mjh.nz/.r/10-ghost_hunters.m3u8
 Crime Hunters,https://i.mjh.nz/.r/10-crime-hunters.m3u8
 Comedy Dynamics,https://i.mjh.nz/.r/10-comedy_dynamics.m3u8
 Adult Animation,https://i.mjh.nz/.r/10-adultanimation.m3u8
 SpongeBob SquarePants,https://i.mjh.nz/.r/10-spongebobsquarepants.m3u8
 Good Chef Bad Chef,https://i.mjh.nz/.r/10-good-chef-bad-chef.m3u8
 RealMadrid.TV,https://i.mjh.nz/.r/10-realmadridtv.m3u8
 MTV Pranks,https://i.mjh.nz/.r/10-mtvpranks.m3u8
 MTV Life,https://i.mjh.nz/.r/10-mtvlife.m3u8
 Australia's Next Top Model,https://i.mjh.nz/.r/10-australias-next-top-model.m3u8
 NickToons 00s,https://i.mjh.nz/.r/10-nicktoons00s.m3u8
 Paw Patrol,https://i.mjh.nz/.r/10-paw-patrol.m3u8
 Nick Jr Stars,https://i.mjh.nz/.r/10-nick-jr-stars.m3u8
 YouTV,https://i.mjh.nz/.r/10-youtv.m3u8
 MTV Jersey Shore,https://i.mjh.nz/.r/10-mtv-jersey-shore.m3u8
 Classic TV: Action,https://i.mjh.nz/.r/10-classictvaction.m3u8
 Classic TV: Drama,https://i.mjh.nz/.r/10-classictvdrama.m3u8
 Rescue 911,https://i.mjh.nz/.r/10-rescue911.m3u8
 Judge Joe Brown,https://i.mjh.nz/.r/10-judgejoebrown.m3u8
 Friday The 13th,https://i.mjh.nz/.r/10-fridaythe13th.m3u8
 World Of Survivor,https://i.mjh.nz/.r/10-world-of-survivor.m3u8
 Embarrassing Bodies,https://i.mjh.nz/.r/10-embarrassing-bodies.m3u8
 BuzzFeed Food,https://i.mjh.nz/.r/10-buzzfeed-food.m3u8
 Crime Time,https://i.mjh.nz/.r/10-crime-time.m3u8
 Rugrats,https://i.mjh.nz/.r/10-rugrats.m3u8
 TVSN Shopping,https://i.mjh.nz/.r/tvsn-shopping-au.m3u8
 ABC Kids,https://c.mjh.nz/abc-kids.m3u8
 ABC Family,https://c.mjh.nz/abc-tv-plus.m3u8
 ABC Entertains,https://c.mjh.nz/abc-me.m3u8
 ABC NEWS,https://c.mjh.nz/abc-news.m3u8
 ABC News in 90 Seconds,https://c.mjh.nz/news_in_90_seconds
